SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
249.4176 355.5042
249.5000 355.4386
249.6000 355.3570
249.7000 355.2755
249.8000 355.1941
249.9000 355.1127
250.0000 355.0313
250.0385 355.0000
250.1000 354.9500
250.2000 354.8687
250.3000 354.7875
250.4000 354.7063
250.5000 354.6252
250.6000 354.5441
250.6545 354.5000
250.7000 354.4631
250.8000 354.3822
250.9000 354.3012
251.0000 354.2203
251.1000 354.1395
251.2000 354.0587
251.2727 354.0000
251.3000 353.9780
251.4000 353.8973
251.5000 353.8167
251.6000 353.7361
251.7000 353.6555
251.8000 353.5750
251.8933 353.5000
251.9000 353.4946
252.0000 353.4142
252.1000 353.3338
252.2000 353.2535
252.3000 353.1733
252.4000 353.0931
252.5000 353.0129
252.5161 353.0000
252.6000 352.9328
252.7000 352.8528
252.8000 352.7727
252.9000 352.6928
253.0000 352.6129
253.1000 352.5330
253.1413 352.5000
253.2000 352.4532
253.3000 352.3734
253.4000 352.2937
253.5000 352.2140
253.6000 352.1344
253.7000 352.0548
253.7689 352.0000
253.8000 351.9753
253.9000 351.8958
254.0000 351.8164
254.1000 351.7370
254.2000 351.6577
254.3000 351.5784
254.3989 351.5000
254.4000 351.4992
254.5000 351.4200
254.6000 351.3409
254.7000 351.2618
254.8000 351.1827
254.9000 351.1037
255.0000 351.0248
255.0314 351.0000
255.1000 350.9459
255.2000 350.8671
255.3000 350.7883
255.4000 350.7096
255.5000 350.6309
255.6000 350.5522
255.6664 350.5000
255.7000 350.4736
255.8000 350.3951
255.9000 350.3166
256.0000 350.2381
256.1000 350.1598
256.1641 350.1095
