SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
256.1641 350.1095
256.1485 349.5000
256.1357 349.0000
256.1229 348.5000
256.1100 348.0000
256.1000 347.6131
256.0971 347.5000
256.0841 347.0000
256.0712 346.5000
256.0582 346.0000
256.0452 345.5000
256.0321 345.0000
256.0190 344.5000
256.0059 344.0000
256.0000 343.7740
255.9928 343.5000
255.9796 343.0000
255.9664 342.5000
255.9532 342.0000
255.9399 341.5000
255.9267 341.0000
255.9133 340.5000
255.9000 340.0003
255.9000 340.0000
255.8866 339.5000
255.8732 339.0000
255.8598 338.5000
255.8463 338.0000
255.8328 337.5000
255.8193 337.0000
255.8057 336.5000
255.8000 336.2900
255.7921 336.0000
255.7785 335.5000
255.7648 335.0000
255.7512 334.5000
255.7374 334.0000
255.7237 333.5000
255.7099 333.0000
255.7000 332.6402
255.6961 332.5000
255.6823 332.0000
255.6684 331.5000
255.6545 331.0000
255.6406 330.5000
255.6266 330.0000
255.6126 329.5000
255.6000 329.0488
255.5986 329.0000
255.5846 328.5000
255.5705 328.0000
255.5564 327.5000
255.5422 327.0000
255.5280 326.5000
255.5138 326.0000
255.5000 325.5139
255.4996 325.5000
255.4853 325.0000
255.4710 324.5000
255.4567 324.0000
255.4423 323.5000
255.4279 323.0000
255.4135 322.5000
255.4000 322.0334
255.3990 322.0000
255.3845 321.5000
255.3700 321.0000
255.3554 320.5000
255.3409 320.0000
255.3262 319.5000
255.3116 319.0000
255.3000 318.6055
255.2969 318.5000
255.2822 318.0000
255.2674 317.5000
255.2526 317.0000
255.2378 316.5000
255.2230 316.0000
255.2081 315.5000
255.2000 315.2284
255.1932 315.0000
255.1782 314.5000
255.1633 314.0000
255.1482 313.5000
255.1332 313.0000
255.1181 312.5000
255.1030 312.0000
255.1000 311.9004
255.0879 311.5000
255.0727 311.0000
255.0575 310.5000
255.0422 310.0000
255.0270 309.5000
255.0117 309.0000
255.0000 308.6200
254.9963 308.5000
254.9809 308.0000
254.9655 307.5000
254.9501 307.0000
254.9346 306.5000
254.9191 306.0000
254.9036 305.5000
254.9000 305.3858
254.8880 305.0000
254.8724 304.5000
254.8567 304.0000
254.8410 303.5000
254.8253 303.0000
254.8096 302.5000
254.8000 302.1964
254.7938 302.0000
254.7780 301.5000
254.7621 301.0000
254.7462 300.5000
254.7303 300.0000
254.7144 299.5000
254.7000 299.0502
254.6984 299.0000
254.6824 298.5000
254.6663 298.0000
254.6502 297.5000
254.6341 297.0000
254.6179 296.5000
254.6017 296.0000
254.6000 295.9463
254.5855 295.5000
254.5692 295.0000
254.5529 294.5000
254.5366 294.0000
254.5202 293.5000
254.5038 293.0000
254.5000 292.8834
254.4874 292.5000
254.4709 292.0000
254.4544 291.5000
254.4378 291.0000
254.4213 290.5000
254.4047 290.0000
254.4000 289.8603
254.3880 289.5000
254.3713 289.0000
254.3546 288.5000
254.3378 288.0000
254.3210 287.5000
254.3042 287.0000
254.3000 286.8758
254.2873 286.5000
254.2704 286.0000
254.2535 285.5000
254.2365 285.0000
254.2195 284.5000
254.2024 284.0000
254.2000 283.9290
254.1853 283.5000
254.1682 283.0000
254.1510 282.5000
254.1338 282.0000
254.1166 281.5000
254.1000 281.0189
254.0993 281.0000
254.0820 280.5000
254.0647 280.0000
254.0473 279.5000
254.0299 279.0000
254.0124 278.5000
254.0000 278.1447
253.9949 278.0000
253.9774 277.5000
253.9598 277.0000
253.9422 276.5000
253.9246 276.0000
253.9069 275.5000
253.9000 275.3052
253.8892 275.0000
253.8714 274.5000
253.8536 274.0000
253.8358 273.5000
253.8179 273.0000
253.8000 272.5000
253.8000 272.4995
253.7821 272.0000
253.7641 271.5000
253.7461 271.0000
253.7280 270.5000
253.7099 270.0000
253.7000 269.7272
253.6918 269.5000
253.6736 269.0000
253.6554 268.5000
253.6371 268.0000
253.6188 267.5000
253.6005 267.0000
253.6000 266.9870
253.5821 266.5000
253.5637 266.0000
253.5452 265.5000
253.5267 265.0000
253.5082 264.5000
253.5000 264.2786
253.4896 264.0000
253.4710 263.5000
253.4524 263.0000
253.4337 262.5000
253.4150 262.0000
253.4000 261.6009
253.3962 261.5000
253.3774 261.0000
253.3585 260.5000
253.3397 260.0000
253.3207 259.5000
253.3018 259.0000
253.3000 258.9533
253.2828 258.5000
253.2637 258.0000
253.2446 257.5000
253.2255 257.0000
253.2063 256.5000
253.2000 256.3353
253.1871 256.0000
253.1679 255.5000
253.1486 255.0000
253.1292 254.5000
253.1099 254.0000
253.1000 253.7461
253.0904 253.5000
253.0710 253.0000
253.0515 252.5000
253.0319 252.0000
253.0124 251.5000
253.0000 251.1850
252.9927 251.0000
252.9731 250.5000
252.9534 250.0000
252.9336 249.5000
252.9138 249.0000
252.9000 248.6515
252.8940 248.5000
252.8741 248.0000
252.8542 247.5000
252.8342 247.0000
252.8142 246.5000
252.8000 246.1450
252.7942 246.0000
252.7741 245.5000
252.7540 245.0000
252.7338 244.5000
252.7136 244.0000
