SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
258.7257 490.0000 240.0000 51.7935 1065.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
265818.5771 1027.4148
265832.7503 1027.4932
265846.8566 1027.5714
265860.8959 1027.6495
265874.8681 1027.7273
265878.9274 1027.7500
265888.7676 1027.8050
265902.5977 1027.8825
265916.3602 1027.9598
265930.0553 1028.0370
265943.6826 1028.1140
265957.2423 1028.1908
265970.7340 1028.2674
265984.1578 1028.3438
265997.5136 1028.4201
266010.8011 1028.4962
266024.0204 1028.5721
266037.1712 1028.6478
266050.2536 1028.7234
266063.2673 1028.7988
266076.2124 1028.8740
266089.0886 1028.9490
266094.7039 1028.9818
266101.8913 1029.0239
266114.6213 1029.0985
266127.2822 1029.1730
266139.8738 1029.2472
266152.3960 1029.3213
266164.8487 1029.3953
266177.2318 1029.4690
266189.5451 1029.5426
266201.7886 1029.6159
266213.9622 1029.6891
266226.0657 1029.7621
266238.0990 1029.8350
266250.0620 1029.9076
266261.9547 1029.9801
266273.7768 1030.0524
266282.7252 1030.1072
266285.5263 1030.1244
266297.1986 1030.1963
266308.8000 1030.2680
266320.3304 1030.3395
266331.7897 1030.4109
266343.1778 1030.4820
266354.4947 1030.5529
266365.7401 1030.6237
266376.9139 1030.6943
266388.0161 1030.7647
266399.0466 1030.8349
266410.0052 1030.9049
266420.8918 1030.9747
266431.7063 1031.0444
266442.4486 1031.1138
266446.3417 1031.1391
266453.1129 1031.1831
266463.7014 1031.2521
266474.2174 1031.3210
266484.6607 1031.3896
266495.0312 1031.4581
266505.3287 1031.5264
266515.5532 1031.5944
266525.7046 1031.6623
266535.7827 1031.7300
266545.7875 1031.7976
266555.7187 1031.8649
266565.5764 1031.9320
266575.3603 1031.9989
266585.0704 1032.0657
266588.2743 1032.0878
266594.7003 1032.1322
266604.2530 1032.1985
266613.7315 1032.2646
266623.1356 1032.3305
266632.4653 1032.3963
266641.7205 1032.4618
266650.9010 1032.5271
266660.0067 1032.5923
266669.0375 1032.6572
266677.9933 1032.7220
266686.8740 1032.7865
266695.6794 1032.8509
266704.4095 1032.9150
266710.7521 1032.9619
266713.0614 1032.9789
266721.6306 1033.0427
266730.1241 1033.1062
266738.5417 1033.1695
266746.8833 1033.2326
266755.1488 1033.2955
266763.3382 1033.3582
266771.4511 1033.4207
266779.4877 1033.4831
266787.4477 1033.5452
266795.3310 1033.6071
266803.1375 1033.6688
266810.8671 1033.7303
266815.6352 1033.7684
266818.5159 1033.7915
266826.0812 1033.8526
266833.5691 1033.9135
266840.9797 1033.9741
266848.3127 1034.0345
266855.5681 1034.0948
266862.7457 1034.1548
266869.8455 1034.2146
266876.8672 1034.2742
266883.8108 1034.3336
266890.6762 1034.3928
266897.4632 1034.4518
266904.1718 1034.5106
266904.5090 1034.5136
266910.7918 1034.5692
266917.3324 1034.6275
266923.7943 1034.6856
266930.1771 1034.7435
266936.4808 1034.8012
266942.7054 1034.8587
266948.8505 1034.9160
266954.9162 1034.9731
266960.9024 1035.0299
266966.8088 1035.0866
266972.6354 1035.1430
266978.3820 1035.1992
266978.7072 1035.2024
266984.0383 1035.2552
266989.6137 1035.3109
266995.1088 1035.3665
267000.5234 1035.4218
267005.8574 1035.4769
267011.1107 1035.5318
267016.2832 1035.5865
267021.3746 1035.6410
267026.3850 1035.6952
267031.3142 1035.7493
267036.1620 1035.8031
267039.3937 1035.8394
267040.9247 1035.8567
267045.5981 1035.9100
267050.1898 1035.9631
267054.6996 1036.0160
267059.1274 1036.0687
267063.4730 1036.1212
267067.7364 1036.1734
267071.9173 1036.2254
267076.0157 1036.2772
267080.0314 1036.3288
267083.9642 1036.3802
267087.5915 1036.4284
267087.8135 1036.4313
267091.5688 1036.4822
267095.2408 1036.5329
267098.8294 1036.5833
267102.3346 1036.6335
267105.7560 1036.6835
267109.0937 1036.7332
267112.3475 1036.7828
267115.5172 1036.8321
267118.6027 1036.8812
267121.6038 1036.9300
267124.1637 1036.9727
267124.5190 1036.9787
267127.3391 1037.0270
267130.0744 1037.0751
267132.7248 1037.1230
267135.2901 1037.1707
267137.7701 1037.2182
267140.1648 1037.2654
267142.4741 1037.3124
267144.6976 1037.3591
267146.8354 1037.4057
267148.8873 1037.4520
267149.8870 1037.4753
267150.8470 1037.4980
267152.7142 1037.5438
267154.4951 1037.5893
267156.1894 1037.6347
267157.7970 1037.6797
267159.3179 1037.7246
267160.7517 1037.7692
267162.0984 1037.8136
267163.3579 1037.8578
267164.5299 1037.9017
267165.4548 1037.9388
267165.6125 1037.9453
267166.5966 1037.9887
267167.4929 1038.0319
267168.3012 1038.0748
267169.0212 1038.1175
267169.6530 1038.1599
267170.1963 1038.2021
267170.6509 1038.2441
267171.0169 1038.2858
267171.2939 1038.3273
267171.4696 1038.3656
267171.4809 1038.3686
267171.5667 1038.4095
267171.5631 1038.4502
267171.4700 1038.4907
267171.2873 1038.5309
267171.0147 1038.5709
267170.6522 1038.6106
267170.1995 1038.6501
267169.6566 1038.6894
267169.0233 1038.7284
267168.4802 1038.7577
267168.2963 1038.7671
267167.4684 1038.8056
267166.5497 1038.8438
267165.5400 1038.8818
267164.4391 1038.9195
267163.2469 1038.9570
267161.9633 1038.9942
267160.5880 1039.0312
267159.1210 1039.0680
267157.5620 1039.1044
267156.9927 1039.1170
267155.9021 1039.1406
267154.1453 1039.1766
267152.2961 1039.2122
267150.3543 1039.2477
267148.3199 1039.2828
267146.1926 1039.3178
267143.9723 1039.3524
267141.6589 1039.3868
267139.2521 1039.4210
267137.4611 1039.4454
267136.7480 1039.4549
267134.1403 1039.4885
267131.4388 1039.5218
267128.6433 1039.5549
267125.7538 1039.5878
267122.7699 1039.6203
267119.6917 1039.6527
267116.5188 1039.6847
267113.2513 1039.7165
267110.2981 1039.7442
267109.8871 1039.7481
267106.4153 1039.7793
267102.8483 1039.8102
267099.1859 1039.8410
267095.4279 1039.8714
267091.5741 1039.9016
267087.6245 1039.9315
267083.5787 1039.9612
267079.4368 1039.9906
267075.8744 1040.0151
267075.1961 1040.0197
267070.8466 1040.0485
267066.4003 1040.0771
267061.8571 1040.1053
267057.2168 1040.1334
267052.4792 1040.1611
267047.6441 1040.1886
267042.7114 1040.2158
267037.6808 1040.2428
267034.5322 1040.2592
267032.5466 1040.2694
267027.3051 1040.2958
267021.9652 1040.3218
267016.5267 1040.3477
267010.9895 1040.3732
267005.3535 1040.3985
266999.6183 1040.4235
266993.7839 1040.4482
266987.8500 1040.4726
266986.5876 1040.4777
266981.8045 1040.4968
266975.6560 1040.5206
266969.4075 1040.5442
266963.0588 1040.5675
266956.6096 1040.5905
266950.0599 1040.6132
266943.4095 1040.6357
266936.6580 1040.6579
266932.3188 1040.6718
266929.7998 1040.6798
266922.8305 1040.7013
266915.7596 1040.7226
266908.5869 1040.7436
266901.3123 1040.7644
266893.9357 1040.7848
266886.4567 1040.8050
266878.8752 1040.8249
266871.9947 1040.8424
266871.1893 1040.8444
266863.3865 1040.8637
266855.4806 1040.8827
266847.4713 1040.9013
266839.3586 1040.9197
266831.1421 1040.9378
266822.8218 1040.9556
266814.3974 1040.9732
266805.8687 1040.9904
266805.8526 1040.9905
266797.2195 1041.0073
266788.4655 1041.0239
266779.6067 1041.0402
266770.6427 1041.0562
266761.5734 1041.0720
266752.3987 1041.0874
266743.1182 1041.1025
266734.1160 1041.1168
266733.7311 1041.1174
266724.2223 1041.1319
266714.6071 1041.1460
266704.8853 1041.1599
266695.0568 1041.1735
266685.1213 1041.1868
266675.0786 1041.1998
266664.9286 1041.2125
266656.9948 1041.2221
266654.6672 1041.2249
266644.2852 1041.2370
266633.7951 1041.2487
266623.1968 1041.2601
266612.4900 1041.2713
266601.6746 1041.2821
266590.7503 1041.2926
266579.7169 1041.3029
266574.6862 1041.3074
266568.5649 1041.3127
266557.2957 1041.3223
266545.9168 1041.3315
266534.4279 1041.3405
266522.8288 1041.3491
266511.1193 1041.3574
266499.2992 1041.3654
266487.3756 1041.3731
266487.3682 1041.3731
266475.3090 1041.3804
266463.1384 1041.3874
266450.8563 1041.3941
266438.4625 1041.4005
266425.9566 1041.4066
266413.3386 1041.4123
266400.6081 1041.4178
266395.2204 1041.4199
266387.7548 1041.4228
266374.7812 1041.4276
266361.6946 1041.4320
266348.4945 1041.4361
266335.1809 1041.4399
266321.7534 1041.4433
266308.2118 1041.4465
266298.3908 1041.4485
266294.5510 1041.4493
266280.7629 1041.4517
266266.8600 1041.4538
266252.8420 1041.4556
266238.7088 1041.4571
266224.4601 1041.4582
266210.0957 1041.4590
266197.0322 1041.4594
266195.6135 1041.4595
266180.9988 1041.4595
266166.2676 1041.4593
266151.4197 1041.4587
266136.4548 1041.4578
266121.3728 1041.4566
266106.1732 1041.4550
266091.2819 1041.4532
266090.8554 1041.4531
266075.4019 1041.4508
266059.8301 1041.4481
266044.1398 1041.4452
266028.3308 1041.4419
266012.4029 1041.4382
265996.3556 1041.4342
265981.2702 1041.4302
265980.1877 1041.4299
265963.8826 1041.4251
265947.4574 1041.4201
265930.9120 1041.4146
265914.2460 1041.4089
265897.4592 1041.4028
265880.5514 1041.3963
265867.1200 1041.3910
265863.5182 1041.3895
265846.3484 1041.3823
265829.0568 1041.3747
265811.6430 1041.3668
265794.1068 1041.3586
265776.4479 1041.3500
265758.6660 1041.3410
265748.9475 1041.3360
265740.7521 1041.3317
265722.7042 1041.3220
265704.5325 1041.3119
265686.2368 1041.3014
265667.8167 1041.2906
265649.2719 1041.2795
265630.6022 1041.2680
265626.8627 1041.2656
265611.7918 1041.2561
265592.8519 1041.2438
265573.7863 1041.2311
265554.5946 1041.2181
265535.2766 1041.2047
265515.8319 1041.1910
265500.9650 1041.1802
265496.2556 1041.1768
265476.5370 1041.1623
265456.6910 1041.1474
265436.7171 1041.1321
265416.6151 1041.1164
265396.3848 1041.1004
265376.0258 1041.0840
265371.3531 1041.0802
265355.5224 1041.0672
265334.8851 1041.0500
265314.1183 1041.0324
265293.2215 1041.0145
265272.1947 1040.9962
265251.0373 1040.9775
265238.1183 1040.9659
265229.7412 1040.9584
265208.3018 1040.9388
265186.7309 1040.9189
265165.0283 1040.8986
265143.1938 1040.8780
265121.2270 1040.8569
265101.3510 1040.8376
265099.1255 1040.8355
265076.8726 1040.8136
265054.4865 1040.7913
265031.9668 1040.7686
265009.3133 1040.7456
264986.5256 1040.7221
264963.6035 1040.6983
264961.1317 1040.6957
264940.5280 1040.6740
264917.3151 1040.6493
264893.9668 1040.6242
264870.4827 1040.5988
264846.8626 1040.5729
264823.1062 1040.5466
