SF_Version 0.9.3
03-Sep-2024 23:12:15
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
0.9989 0.1000 238.2371 209.8850 2793.0000 
###########################################################
D H (J/kg)  D S (J/(K*kg)
-625596.0645 -3516.4351
-625174.9398 -3516.4351
-624753.8297 -3516.4351
-624332.7343 -3516.4351
-623911.6534 -3516.4351
-623490.5871 -3516.4351
-623069.5355 -3516.4351
-622648.4984 -3516.4350
-622227.4759 -3516.4350
-621806.4680 -3516.4350
-621385.4747 -3516.4350
-620964.4959 -3516.4350
-620543.5317 -3516.4350
-620122.5821 -3516.4350
-619701.6471 -3516.4349
-619280.7266 -3516.4349
-618859.8207 -3516.4349
-618438.9293 -3516.4349
-618018.0525 -3516.4349
-617597.1902 -3516.4349
-617176.3425 -3516.4348
-616755.5093 -3516.4348
-616334.6906 -3516.4348
-615913.8865 -3516.4348
-615493.0969 -3516.4348
-615072.3218 -3516.4347
-614651.5613 -3516.4347
-614230.8152 -3516.4347
-613810.0837 -3516.4347
-613389.3667 -3516.4346
-612968.6642 -3516.4346
-612547.9762 -3516.4346
-612127.3027 -3516.4346
-611706.6437 -3516.4346
-611285.9992 -3516.4345
-610865.3691 -3516.4345
-610444.7536 -3516.4345
-610024.1525 -3516.4345
-609603.5660 -3516.4344
-609182.9938 -3516.4344
-608762.4362 -3516.4344
-608341.8930 -3516.4343
-607921.3643 -3516.4343
-607500.8501 -3516.4343
-607080.3503 -3516.4343
-606659.8649 -3516.4342
-606239.3940 -3516.4342
-605818.9376 -3516.4342
-605398.4956 -3516.4341
-604978.0680 -3516.4341
-604557.6549 -3516.4341
-604137.2562 -3516.4341
-603716.8719 -3516.4340
-603296.5020 -3516.4340
-602876.1466 -3516.4340
-602455.8056 -3516.4339
-602035.4790 -3516.4339
-601615.1668 -3516.4338
-601194.8690 -3516.4338
-189.1037 -189.1036
-208.0146 -189.1035
-226.9247 -189.1030
-245.8340 -189.1021
-264.7420 -189.1006
-283.6486 -189.0986
-300.7514 -189.0961
-302.5534 -189.0958
-321.4576 -189.0923
-340.3593 -189.0878
-359.2579 -189.0824
-378.1530 -189.0759
-397.0442 -189.0683
-414.3755 -189.0603
-415.9310 -189.0595
-434.8145 -189.0494
-453.6924 -189.0380
-472.5643 -189.0252
-491.4295 -189.0109
-510.2875 -188.9951
-527.8537 -188.9790
-529.1377 -188.9777
-547.9811 -188.9588
-566.8154 -188.9381
-585.6401 -188.9157
-604.4544 -188.8916
-623.2577 -188.8658
-641.0924 -188.8395
-642.0495 -188.8381
-660.8307 -188.8086
-679.5990 -188.7772
-698.3537 -188.7439
-717.0943 -188.7087
-735.8202 -188.6717
-753.9917 -188.6338
-754.5307 -188.6327
-773.2268 -188.5917
-791.9064 -188.5489
-810.5688 -188.5041
-829.2135 -188.4574
