SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
201.9335 670.8401
201.9878 670.5000
202.0000 670.4232
202.0674 670.0000
202.1000 669.7953
202.1470 669.5000
202.2000 669.1672
202.2266 669.0000
202.3000 668.5389
202.3062 668.5000
202.3858 668.0000
202.4000 667.9106
202.4653 667.5000
202.5000 667.2821
202.5449 667.0000
202.6000 666.6535
202.6244 666.5000
202.7000 666.0248
202.7039 666.0000
202.7834 665.5000
202.8000 665.3959
202.8629 665.0000
202.9000 664.7669
202.9424 664.5000
203.0000 664.1378
203.0219 664.0000
203.1000 663.5086
203.1014 663.5000
203.1808 663.0000
203.2000 662.8792
203.2602 662.5000
203.3000 662.2497
203.3397 662.0000
203.4000 661.6201
203.4191 661.5000
203.4985 661.0000
203.5000 660.9904
203.5779 660.5000
203.6000 660.3605
203.6572 660.0000
203.7000 659.7306
203.7366 659.5000
203.8000 659.1005
203.8159 659.0000
203.8953 658.5000
203.9000 658.4702
203.9746 658.0000
204.0000 657.8399
204.0539 657.5000
204.1000 657.2094
204.1332 657.0000
204.2000 656.5787
204.2125 656.5000
204.2918 656.0000
204.3000 655.9480
204.3710 655.5000
204.4000 655.3171
204.4503 655.0000
204.5000 654.6861
204.5295 654.5000
204.6000 654.0550
204.6087 654.0000
204.6879 653.5000
204.7000 653.4238
204.7671 653.0000
204.8000 652.7924
204.8463 652.5000
204.9000 652.1609
204.9255 652.0000
205.0000 651.5292
205.0046 651.5000
205.0838 651.0000
205.1000 650.8975
205.1629 650.5000
205.2000 650.2656
205.2420 650.0000
205.3000 649.6336
205.3211 649.5000
205.4000 649.0014
205.4002 649.0000
205.4793 648.5000
205.5000 648.3691
205.5584 648.0000
205.6000 647.7367
205.6374 647.5000
205.7000 647.1042
205.7165 647.0000
205.7955 646.5000
205.8000 646.4715
205.8745 646.0000
205.9000 645.8387
205.9535 645.5000
206.0000 645.2058
206.0325 645.0000
206.1000 644.5727
206.1115 644.5000
206.1905 644.0000
206.2000 643.9396
206.2694 643.5000
206.3000 643.3063
206.3483 643.0000
206.4000 642.6728
206.4273 642.5000
206.5000 642.0392
206.5062 642.0000
206.5851 641.5000
206.6000 641.4055
206.6640 641.0000
206.7000 640.7717
206.7429 640.5000
206.8000 640.1377
206.8217 640.0000
206.9000 639.5036
206.9006 639.5000
206.9794 639.0000
207.0000 638.8694
207.0582 638.5000
207.1000 638.2351
207.1370 638.0000
207.2000 637.6006
207.2158 637.5000
207.2946 637.0000
207.3000 636.9660
207.3734 636.5000
207.4000 636.3312
207.4522 636.0000
207.5000 635.6963
207.5309 635.5000
207.6000 635.0613
207.6097 635.0000
207.6884 634.5000
207.7000 634.4262
207.7671 634.0000
207.8000 633.7909
207.8458 633.5000
207.9000 633.1555
207.9245 633.0000
208.0000 632.5199
208.0031 632.5000
208.0818 632.0000
208.1000 631.8842
208.1604 631.5000
208.2000 631.2484
208.2391 631.0000
208.3000 630.6125
208.3177 630.5000
208.3963 630.0000
208.4000 629.9764
208.4749 629.5000
208.5000 629.3402
208.5535 629.0000
208.6000 628.7039
208.6320 628.5000
208.7000 628.0674
208.7106 628.0000
208.7891 627.5000
208.8000 627.4308
208.8677 627.0000
208.9000 626.7940
208.9462 626.5000
209.0000 626.1572
209.0247 626.0000
209.1000 625.5202
209.1032 625.5000
209.1816 625.0000
209.2000 624.8830
209.2601 624.5000
209.3000 624.2457
209.3386 624.0000
209.4000 623.6083
209.4170 623.5000
209.4954 623.0000
209.5000 622.9708
209.5738 622.5000
209.6000 622.3331
209.6522 622.0000
209.7000 621.6953
209.7306 621.5000
209.8000 621.0573
209.8090 621.0000
209.8873 620.5000
209.9000 620.4192
209.9657 620.0000
210.0000 619.7810
210.0440 619.5000
210.1000 619.1426
210.1223 619.0000
210.2000 618.5041
210.2006 618.5000
210.2789 618.0000
210.3000 617.8655
210.3572 617.5000
210.4000 617.2267
210.4355 617.0000
210.5000 616.5878
210.5137 616.5000
210.5920 616.0000
210.6000 615.9488
210.6702 615.5000
210.7000 615.3096
210.7484 615.0000
210.8000 614.6703
210.8266 614.5000
210.9000 614.0308
210.9048 614.0000
210.9830 613.5000
211.0000 613.3912
211.0612 613.0000
211.1000 612.7515
211.1393 612.5000
211.2000 612.1116
211.2174 612.0000
211.2956 611.5000
211.3000 611.4716
211.3737 611.0000
211.4000 610.8314
211.4518 610.5000
211.5000 610.1912
211.5299 610.0000
211.6000 609.5507
211.6079 609.5000
211.6860 609.0000
211.7000 608.9102
211.7640 608.5000
211.8000 608.2695
211.8421 608.0000
211.9000 607.6286
211.9201 607.5000
211.9981 607.0000
212.0000 606.9877
212.0761 606.5000
212.1000 606.3465
212.1540 606.0000
212.2000 605.7053
212.2320 605.5000
212.3000 605.0639
212.3100 605.0000
212.3879 604.5000
212.4000 604.4224
212.4658 604.0000
212.5000 603.7807
212.5437 603.5000
212.6000 603.1389
212.6216 603.0000
212.6995 602.5000
212.7000 602.4969
212.7774 602.0000
