SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
179.8000 807.0000 269.9755 204.0000 2108.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
41702.0752 231.9359
41724.8438 231.9556
41729.5570 231.9597
41747.6144 231.9754
41757.0463 231.9836
41770.3872 231.9952
41784.5432 232.0075
41793.1620 232.0149
41812.0475 232.0313
41815.9389 232.0347
41838.7179 232.0545
41839.5594 232.0552
41861.4990 232.0743
41867.0788 232.0792
41884.2821 232.0941
41894.6058 232.1031
41907.0673 232.1139
41922.1403 232.1270
41929.8546 232.1337
41949.6823 232.1510
41952.6440 232.1536
41975.4354 232.1734
41977.2319 232.1750
41998.2289 232.1932
42004.7891 232.1989
42021.0245 232.2131
42032.3538 232.2229
42043.8222 232.2329
42059.9261 232.2470
42066.6219 232.2528
42087.5059 232.2710
42089.4238 232.2727
42112.2276 232.2926
42115.0933 232.2951
42135.0336 232.3124
42142.6884 232.3191
42157.8417 232.3323
42170.2910 232.3432
42180.6518 232.3522
42197.9012 232.3673
42203.4640 232.3722
42225.5190 232.3914
42226.2783 232.3921
42249.0946 232.4120
42253.1445 232.4155
42271.9131 232.4319
42280.7776 232.4397
42294.7336 232.4519
42308.4183 232.4638
42317.5562 232.4718
42336.0666 232.4880
42340.3809 232.4918
42363.2077 232.5117
42363.7225 232.5122
42386.0365 232.5317
42391.3861 232.5364
42408.8674 232.5517
42419.0574 232.5606
42431.7004 232.5717
42446.7364 232.5849
42454.5355 232.5917
42474.4230 232.6091
42477.3727 232.6117
42500.2120 232.6317
42502.1172 232.6334
42523.0534 232.6517
42529.8192 232.6577
42545.8968 232.6718
42557.5289 232.6820
42568.7424 232.6918
42585.2463 232.7063
42591.5900 232.7118
42612.9713 232.7306
42614.4397 232.7319
42637.2915 232.7519
42640.7042 232.7549
42660.1454 232.7720
42668.4447 232.7793
42683.0015 232.7921
42696.1930 232.8037
42705.8596 232.8122
42723.9490 232.8281
42728.7198 232.8323
42751.5821 232.8524
42751.7128 232.8525
42774.4465 232.8725
42779.4843 232.8769
42797.3130 232.8926
42807.2637 232.9013
42820.1817 232.9127
42835.0508 232.9258
42843.0524 232.9328
42862.8456 232.9502
42865.9253 232.9530
42888.8002 232.9731
42890.6483 232.9747
42911.6773 232.9933
42918.4589 232.9992
42934.5565 233.0134
42946.2772 233.0238
42957.4378 233.0336
42974.1034 233.0483
42980.3213 233.0538
43001.9374 233.0728
43003.2069 233.0740
43026.0946 233.0941
43029.7793 233.0974
43048.9844 233.1143
43057.6290 233.1220
43071.8763 233.1346
43085.4866 233.1466
43094.7705 233.1548
43113.3521 233.1712
43117.6667 233.1750
43140.5651 233.1952
43141.2255 233.1958
43163.4656 233.2155
43169.1069 233.2205
43186.3683 233.2357
43196.9961 233.2451
43209.2731 233.2560
43224.8933 233.2698
43232.1801 233.2762
43252.7984 233.2945
43255.0892 233.2965
43278.0005 233.3168
43280.7115 233.3192
43300.9140 233.3371
43308.6326 233.3439
43323.8296 233.3574
43336.5616 233.3687
43346.7474 233.3777
43364.4987 233.3934
43369.6674 233.3980
43392.4437 233.4182
43392.5895 233.4183
43415.5139 233.4387
43420.3968 233.4430
43438.4404 233.4590
43448.3579 233.4678
43461.3691 233.4793
43476.3271 233.4926
43484.3000 233.4997
43504.3043 233.5175
43507.2331 233.5201
43530.1684 233.5404
43532.2896 233.5423
43553.1059 233.5608
43560.2831 233.5672
43576.0456 233.5812
43588.2846 233.5921
43598.9876 233.6016
43616.2942 233.6170
43621.9317 233.6220
43644.3120 233.6419
43644.8781 233.6424
43667.8267 233.6629
43672.3379 233.6669
43690.7775 233.6833
43700.3720 233.6918
43713.7306 233.7037
43728.4143 233.7168
43736.6859 233.7242
43756.4648 233.7418
43759.6435 233.7446
43782.6034 233.7651
43784.5235 233.7668
43805.5654 233.7856
43812.5904 233.7918
43828.5298 233.8061
43840.6656 233.8169
43851.4964 233.8265
43868.7490 233.8419
43874.4653 233.8470
43896.8407 233.8670
43897.4364 233.8676
43920.4099 233.8881
43924.9407 233.8921
43943.3856 233.9086
43953.0490 233.9172
43966.3636 233.9291
43981.1657 233.9424
43989.3440 233.9497
44009.2906 233.9675
44012.3266 233.9702
44035.3116 233.9908
44037.4240 233.9927
44058.2989 234.0114
44065.5658 234.0179
44081.2884 234.0319
44093.7159 234.0431
44104.2804 234.0525
44121.8744 234.0683
44127.2746 234.0731
44150.0414 234.0935
44150.2713 234.0937
44173.2702 234.1144
44178.2168 234.1188
44196.2715 234.1350
44206.4007 234.1441
44219.2751 234.1556
44234.5931 234.1694
44242.2811 234.1763
44262.7940 234.1947
44265.2895 234.1969
44288.3003 234.2176
44291.0033 234.2200
44311.3134 234.2383
44319.2213 234.2454
44334.3289 234.2589
44347.4478 234.2707
44357.3468 234.2796
44375.6828 234.2961
44380.3671 234.3003
44403.3898 234.3210
44403.9263 234.3215
44426.4149 234.3417
44432.1786 234.3469
44449.4423 234.3625
44460.4394 234.3724
44472.4722 234.3832
44488.7088 234.3978
44495.5045 234.4040
44516.9869 234.4233
44518.5393 234.4247
44541.5764 234.4455
44545.2736 234.4488
44564.6160 234.4662
44573.5690 234.4743
44587.6579 234.4870
44601.8731 234.4999
44610.7024 234.5078
44630.1859 234.5254
44633.7493 234.5286
44656.7986 234.5494
44658.5073 234.5510
44679.8503 234.5703
44686.8376 234.5766
44702.9045 234.5911
44715.1766 234.6022
44725.9612 234.6119
44743.5243 234.6278
44749.0203 234.6328
44771.8807 234.6535
44772.0819 234.6536
44795.1459 234.6745
44800.2460 234.6791
44818.2124 234.6954
44828.6201 234.7048
44841.2813 234.7163
44857.0030 234.7305
44864.3528 234.7372
44885.3946 234.7562
44887.4267 234.7581
44910.5031 234.7790
44913.7952 234.7820
44933.5820 234.7999
44942.2046 234.8078
44956.6633 234.8209
44970.6228 234.8335
44979.7472 234.8418
44999.0499 234.8593
45002.8335 234.8628
45025.9223 234.8837
45027.4859 234.8852
45049.0136 234.9047
45055.9308 234.9110
45072.1075 234.9257
45084.3846 234.9369
45095.2038 234.9467
45112.8474 234.9627
45118.3026 234.9677
45141.3190 234.9886
45141.4039 234.9887
45164.5077 235.0097
45169.7996 235.0146
45187.6141 235.0308
45198.2892 235.0405
45210.7229 235.0518
45226.7878 235.0665
45233.8343 235.0729
45255.2952 235.0924
45256.9482 235.0939
45280.0645 235.1150
45283.8118 235.1184
45303.1834 235.1361
45312.3373 235.1445
45326.3048 235.1572
45340.8718 235.1705
45349.4288 235.1783
45369.4153 235.1966
45372.5552 235.1994
45395.6842 235.2205
45397.9679 235.2226
45418.8157 235.2417
45426.5295 235.2487
45441.9497 235.2628
45455.1002 235.2748
45465.0863 235.2840
45483.6799 235.3010
45488.2254 235.3051
45511.3670 235.3263
45512.2686 235.3271
45534.5111 235.3475
45540.8666 235.3533
45557.6577 235.3687
45569.4735 235.3795
45580.8069 235.3899
45598.0896 235.4057
45603.9586 235.4111
45626.7147 235.4320
45627.1129 235.4323
45650.2697 235.4536
45655.3490 235.4582
45673.4290 235.4748
45683.9924 235.4845
45696.5908 235.4961
45712.6449 235.5108
45719.7552 235.5173
45741.3065 235.5371
45742.9221 235.5386
45766.0915 235.5599
45769.9774 235.5634
45789.2634 235.5812
45798.6574 235.5898
45812.4379 235.6025
45827.3465 235.6162
45835.6149 235.6238
45856.0447 235.6426
45858.7945 235.6451
45881.9766 235.6664
45884.7522 235.6690
45905.1612 235.6878
45913.4689 235.6954
45928.3483 235.7091
45942.1947 235.7219
45951.5379 235.7305
45970.9297 235.7484
45974.7301 235.7519
45997.9248 235.7732
45999.6739 235.7749
46021.1220 235.7946
46028.4274 235.8014
46044.3218 235.8160
46057.1900 235.8279
46067.5240 235.8374
46085.9619 235.8545
46090.7288 235.8589
46113.9362 235.8803
46114.7429 235.8810
46137.1460 235.9017
46143.5332 235.9076
46160.3583 235.9232
46172.3328 235.9343
46183.5731 235.9446
46201.1416 235.9609
46206.7905 235.9661
46229.9595 235.9875
46230.0104 235.9876
46253.2327 236.0091
46258.7868 236.0142
46276.4576 236.0306
46287.6234 236.0409
46299.6850 236.0521
46316.4691 236.0676
46322.9149 236.0736
46345.3241 236.0944
46346.1473 236.0951
46369.3822 236.1167
46374.1884 236.1211
46392.6195 236.1382
46403.0620 236.1479
46415.8594 236.1598
46431.9448 236.1747
46439.1017 236.1813
46460.8368 236.2015
46462.3466 236.2029
46485.5939 236.2245
46489.7382 236.2283
46508.8437 236.2461
46518.6489 236.2552
46532.0960 236.2677
46547.5688 236.2821
46555.3507 236.2893
46576.4979 236.3090
46578.6080 236.3109
46601.8677 236.3326
46605.4364 236.3359
46625.1298 236.3542
46634.3842 236.3628
46648.3944 236.3759
46663.3412 236.3898
46671.6615 236.3975
46692.3075 236.4167
46694.9311 236.4192
46718.2030 236.4409
46721.2832 236.4437
46741.4774 236.4626
46750.2681 236.4708
46764.7543 236.4843
46779.2623 236.4978
46788.0336 236.5060
46808.2658 236.5248
46811.3154 236.5277
46834.5996 236.5494
46837.2786 236.5519
46857.8863 236.5711
46866.3007 236.5790
46881.1753 236.5929
46895.3322 236.6061
46904.4668 236.6146
46924.3729 236.6332
46927.7608 236.6364
46951.0571 236.6582
46953.4229 236.6604
46974.3559 236.6800
46982.4823 236.6876
46997.6571 236.7018
47011.5510 236.7148
47020.9608 236.7236
47040.6290 236.7420
47044.2668 236.7454
47067.5753 236.7672
47069.7164 236.7692
47090.8862 236.7890
47098.8131 236.7964
47114.1995 236.8109
47127.9192 236.8237
47137.5152 236.8327
47157.0345 236.8510
47160.8333 236.8546
47184.1539 236.8764
47186.1593 236.8783
47207.4768 236.8983
47215.2934 236.9056
47230.8022 236.9202
47244.4369 236.9330
47254.1300 236.9421
47273.5898 236.9603
47277.4602 236.9640
47300.7928 236.9859
47302.7520 236.9877
47324.1278 237.0078
47331.9237 237.0151
47347.4652 237.0297
47361.1048 237.0426
47370.8050 237.0517
47390.2952 237.0700
47394.1472 237.0736
47417.4918 237.0956
47419.4951 237.0975
47440.8389 237.1176
47448.7044 237.1250
47464.1883 237.1395
47477.9231 237.1525
47487.5401 237.1615
47507.1513 237.1800
47510.8944 237.1835
47534.2511 237.2055
47536.3889 237.2075
47557.6101 237.2275
47565.6360 237.2351
47580.9716 237.2495
47594.8925 237.2627
47604.3354 237.2716
47624.1585 237.2903
47627.7017 237.2936
47651.0704 237.3157
47653.4340 237.3179
47674.4415 237.3377
47682.7190 237.3455
47697.8150 237.3598
47712.0135 237.3732
47721.1910 237.3819
47741.3175 237.4009
47744.5693 237.4040
47767.9501 237.4260
