SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
238.2371 209.8850
238.3000 209.8770
238.4000 209.8585
238.5000 209.8401
238.6000 209.8216
238.7000 209.8032
238.8000 209.7848
238.9000 209.7664
239.0000 209.7480
239.1000 209.7296
239.2000 209.7112
239.3000 209.6928
239.4000 209.6745
239.5000 209.6561
239.6000 209.6377
239.7000 209.6194
239.8000 209.6011
239.9000 209.5828
240.0000 209.5645
240.1000 209.5462
240.2000 209.5279
240.3000 209.5096
240.3524 209.5000
240.4000 209.4913
240.5000 209.4730
240.6000 209.4548
240.7000 209.4365
240.8000 209.4183
240.9000 209.4001
241.0000 209.3819
241.1000 209.3637
241.2000 209.3455
241.3000 209.3273
241.4000 209.3091
241.5000 209.2909
241.6000 209.2728
241.7000 209.2546
241.8000 209.2365
241.9000 209.2184
242.0000 209.2003
242.1000 209.1822
242.2000 209.1641
242.3000 209.1460
242.4000 209.1279
242.5000 209.1098
242.6000 209.0918
242.7000 209.0737
242.8000 209.0557
242.9000 209.0377
243.0000 209.0196
243.1000 209.0016
243.1091 209.0000
243.2000 208.9836
243.3000 208.9656
243.4000 208.9477
243.5000 208.9297
243.6000 208.9118
243.7000 208.8938
243.8000 208.8759
243.9000 208.8579
244.0000 208.8400
244.1000 208.8221
244.2000 208.8042
244.3000 208.7864
244.4000 208.7685
244.5000 208.7506
244.6000 208.7328
244.7000 208.7149
244.8000 208.6971
244.9000 208.6793
245.0000 208.6615
245.1000 208.6437
245.2000 208.6259
245.3000 208.6081
245.4000 208.5903
245.5000 208.5726
245.6000 208.5548
245.7000 208.5371
245.8000 208.5194
245.9000 208.5017
245.9095 208.5000
246.0000 208.4840
246.1000 208.4663
246.2000 208.4486
246.3000 208.4309
246.4000 208.4133
246.5000 208.3956
246.6000 208.3780
246.7000 208.3604
246.8000 208.3428
246.9000 208.3252
247.0000 208.3076
247.1000 208.2900
247.2000 208.2724
247.3000 208.2549
247.4000 208.2373
247.5000 208.2198
247.6000 208.2023
247.7000 208.1848
247.8000 208.1673
247.9000 208.1498
248.0000 208.1323
248.1000 208.1148
248.2000 208.0974
248.3000 208.0799
248.4000 208.0625
248.5000 208.0451
248.6000 208.0277
248.7000 208.0103
248.7591 208.0000
248.8000 207.9929
248.9000 207.9755
249.0000 207.9582
249.1000 207.9408
249.2000 207.9235
249.3000 207.9061
249.4000 207.8888
249.5000 207.8715
249.6000 207.8542
249.7000 207.8370
249.8000 207.8197
249.9000 207.8024
250.0000 207.7852
250.1000 207.7680
250.2000 207.7507
250.3000 207.7335
250.4000 207.7163
250.5000 207.6992
250.6000 207.6820
250.7000 207.6648
250.8000 207.6477
250.9000 207.6305
251.0000 207.6134
251.1191 207.5930
