SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
230.0000 211.4380 260.0000 206.1258 311.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
8722.6882 37.9247
8722.9804 37.9095
8723.2591 37.8943
8723.5245 37.8790
8723.7764 37.8636
8724.0148 37.8482
8724.2398 37.8328
8724.4513 37.8173
8724.6492 37.8018
8724.8337 37.7862
8725.0045 37.7706
8725.1618 37.7549
8725.3055 37.7392
8725.4355 37.7235
8725.5519 37.7077
8725.6547 37.6918
8725.7437 37.6759
8725.8190 37.6600
8725.8806 37.6440
8725.9284 37.6280
8725.9625 37.6119
8725.9828 37.5958
8725.9892 37.5796
8725.9818 37.5634
8725.9818 37.5634
8725.9604 37.5472
8725.9251 37.5309
8725.8759 37.5145
8725.8128 37.4981
8725.7358 37.4817
8725.6448 37.4652
8725.5397 37.4487
8725.4207 37.4321
8725.2876 37.4155
8725.1405 37.3988
8724.9793 37.3821
8724.8040 37.3653
8724.6146 37.3485
8724.4110 37.3317
8724.1933 37.3148
8723.9614 37.2978
8723.7152 37.2808
8723.4549 37.2638
8723.1803 37.2467
8722.8914 37.2296
8722.5883 37.2124
8722.2708 37.1952
8721.9390 37.1779
8721.5928 37.1606
8721.2323 37.1432
8720.8573 37.1258
8720.6567 37.1168
8720.4679 37.1084
8720.0640 37.0909
8719.6456 37.0733
8719.2127 37.0557
8718.7653 37.0381
8718.3034 37.0204
8717.8270 37.0027
8717.3359 36.9849
8716.8303 36.9671
8716.3101 36.9492
8715.7752 36.9313
8715.2257 36.9133
8714.6615 36.8953
8714.0826 36.8772
8713.4890 36.8591
8712.8807 36.8409
8712.2576 36.8227
8711.6197 36.8045
8710.9670 36.7862
8710.2994 36.7678
8709.6171 36.7494
8708.9198 36.7310
8708.2077 36.7125
8707.4807 36.6940
8706.7387 36.6754
8705.9818 36.6568
8705.2099 36.6381
8704.9379 36.6316
8704.4230 36.6194
8703.6209 36.6006
8702.8039 36.5818
8701.9718 36.5629
8701.1246 36.5440
8700.2623 36.5250
8699.3848 36.5060
8698.4923 36.4870
8697.5845 36.4679
8696.6616 36.4487
8695.7235 36.4295
8694.7701 36.4103
8693.8015 36.3910
8692.8176 36.3716
8691.8185 36.3522
8690.8040 36.3328
8689.7742 36.3133
8688.7290 36.2938
8687.6685 36.2742
8686.5925 36.2546
8685.5011 36.2349
8684.3943 36.2152
8683.2721 36.1954
8682.1343 36.1756
8680.9811 36.1557
8679.8123 36.1358
8678.6279 36.1158
8678.0007 36.1053
8677.4280 36.0958
8676.2124 36.0757
8674.9811 36.0556
8673.7343 36.0355
8672.4718 36.0152
8671.1936 35.9950
8669.8997 35.9747
8668.5901 35.9543
8667.2648 35.9339
8665.9237 35.9135
8664.5668 35.8930
8663.1942 35.8724
8661.8057 35.8518
8660.4013 35.8312
8658.9811 35.8105
8657.5450 35.7898
8656.0930 35.7690
8654.6251 35.7481
8653.1412 35.7273
8651.6414 35.7063
8650.1255 35.6853
8648.5937 35.6643
8647.0458 35.6432
8645.4819 35.6221
8643.9018 35.6009
8642.3057 35.5797
8640.6935 35.5584
8639.0651 35.5371
8638.9166 35.5351
8637.4204 35.5157
8635.7596 35.4943
8634.0825 35.4728
8632.3892 35.4513
8630.6797 35.4297
8628.9539 35.4081
8627.2118 35.3864
8625.4534 35.3647
8623.6787 35.3429
8621.8876 35.3211
8620.0801 35.2993
8618.2563 35.2774
8616.4160 35.2554
8614.5593 35.2334
8612.6861 35.2113
8610.7965 35.1892
8608.8903 35.1670
8606.9676 35.1448
8605.0284 35.1226
8603.0726 35.1003
8601.1002 35.0779
8599.1113 35.0555
8597.1057 35.0330
8595.0834 35.0105
8593.0444 34.9880
8590.9888 34.9654
8588.9165 34.9427
8586.8274 34.9200
8586.6285 34.9178
8584.7214 34.8972
8582.5987 34.8744
8580.4592 34.8516
8578.3028 34.8287
8576.1296 34.8057
8573.9395 34.7827
8571.7326 34.7597
8569.5087 34.7366
8567.2679 34.7134
8565.0102 34.6902
8562.7355 34.6669
8560.4438 34.6436
8558.1350 34.6203
8555.8093 34.5969
8553.4665 34.5734
8551.1066 34.5499
8548.7296 34.5264
8546.3355 34.5028
8543.9243 34.4791
8541.4959 34.4554
8539.0503 34.4317
8536.5875 34.4079
8534.1075 34.3840
8531.6102 34.3601
8529.0957 34.3361
8526.5638 34.3121
8524.0147 34.2881
8521.4482 34.2640
8519.9231 34.2497
8518.8643 34.2398
8516.2630 34.2156
8513.6443 34.1913
8511.0081 34.1670
8508.3545 34.1427
8505.6835 34.1183
8502.9950 34.0938
8500.2889 34.0693
8497.5654 34.0447
8494.8242 34.0201
8492.0656 33.9955
8489.2893 33.9707
8486.4954 33.9460
8483.6839 33.9212
8480.8547 33.8963
8478.0079 33.8714
8475.1433 33.8464
8472.2611 33.8214
8469.3610 33.7963
8466.4433 33.7712
8463.5077 33.7460
8460.5544 33.7208
8457.5832 33.6956
8454.5941 33.6702
8451.5872 33.6449
8448.5624 33.6194
8445.5197 33.5940
8442.4591 33.5684
8439.3805 33.5428
8437.3939 33.5264
8436.2839 33.5172
8433.1692 33.4915
8430.0364 33.4658
8426.8857 33.4400
8423.7169 33.4142
8420.5299 33.3883
8417.3249 33.3624
8414.1018 33.3364
8410.8605 33.3103
8407.6010 33.2842
8404.3233 33.2581
8401.0274 33.2319
8397.7133 33.2057
8394.3809 33.1794
8391.0302 33.1530
8387.6613 33.1266
8384.2740 33.1002
8380.8683 33.0737
8377.4443 33.0471
8374.0019 33.0205
8370.5411 32.9939
8367.0618 32.9671
8363.5641 32.9404
8360.0479 32.9136
8356.5132 32.8867
8352.9600 32.8598
8349.3883 32.8328
8345.7979 32.8058
8342.1890 32.7787
8338.5615 32.7516
8337.3887 32.7429
8334.9152 32.7244
8331.2503 32.6972
8327.5667 32.6699
8323.8644 32.6426
8320.1433 32.6152
8316.4035 32.5878
8312.6450 32.5603
8308.8676 32.5328
8305.0715 32.5052
8301.2565 32.4775
8297.4227 32.4498
8293.5700 32.4221
8289.6983 32.3943
8285.8078 32.3664
8281.8983 32.3385
8277.9699 32.3106
8274.0224 32.2826
8270.0560 32.2545
8266.0705 32.2264
8262.0659 32.1982
8258.0423 32.1700
8253.9996 32.1417
8249.9378 32.1134
8245.8568 32.0850
8241.7566 32.0566
8237.6372 32.0281
8233.4987 31.9996
8229.3409 31.9710
8225.1638 31.9424
8220.9675 31.9137
8217.9405 31.8930
8216.7518 31.8850
8212.5167 31.8562
8208.2622 31.8273
8203.9884 31.7984
8199.6952 31.7695
8195.3825 31.7404
8191.0505 31.7114
8186.6989 31.6823
8182.3279 31.6531
8177.9374 31.6239
8173.5273 31.5946
8169.0977 31.5653
8164.6485 31.5359
8160.1797 31.5065
8155.6912 31.4770
8151.1832 31.4475
8146.6554 31.4179
8142.1080 31.3882
8137.5408 31.3585
8132.9539 31.3288
8128.3473 31.2990
8123.7209 31.2691
8119.0746 31.2392
8114.4085 31.2093
