SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
273.1527  0.1000
273.1155  0.6000
273.1000  0.8083
273.0783  1.1000
273.0409  1.6000
273.0035  2.1000
273.0000  2.1468
272.9660  2.6000
272.9284  3.1000
272.9000  3.4776
272.8908  3.6000
272.8530  4.1000
272.8152  4.6000
272.8000  4.8011
272.7773  5.1000
272.7394  5.6000
272.7013  6.1000
272.7000  6.1175
272.6632  6.6000
272.6250  7.1000
272.6000  7.4265
272.5867  7.6000
272.5483  8.1000
272.5099  8.6000
272.5000  8.7287
272.4714  9.1000
272.4328  9.6000
272.4000 10.0240
272.3941 10.1000
272.3554 10.6000
272.3165 11.1000
272.3000 11.3124
272.2776 11.6000
272.2386 12.1000
272.2000 12.5944
272.1996 12.6000
272.1604 13.1000
272.1212 13.6000
272.1000 13.8696
272.0819 14.1000
272.0425 14.6000
272.0031 15.1000
272.0000 15.1387
271.9635 15.6000
271.9239 16.1000
271.9000 16.4012
271.8842 16.6000
271.8444 17.1000
271.8046 17.6000
271.8000 17.6577
271.7647 18.1000
271.7247 18.6000
271.7000 18.9079
271.6846 19.1000
271.6444 19.6000
271.6042 20.1000
271.6000 20.1523
271.5639 20.6000
271.5235 21.1000
271.5000 21.3906
271.4830 21.6000
271.4425 22.1000
271.4019 22.6000
271.4000 22.6232
271.3612 23.1000
271.3204 23.6000
271.3000 23.8500
271.2796 24.1000
271.2386 24.6000
271.2000 25.0712
271.1976 25.1000
271.1565 25.6000
271.1154 26.1000
271.1000 26.2867
271.0742 26.6000
271.0328 27.1000
271.0000 27.4969
270.9915 27.6000
270.9500 28.1000
270.9085 28.6000
270.9000 28.7016
270.8668 29.1000
270.8251 29.6000
270.8000 29.9009
270.7834 30.1000
270.7415 30.6000
270.7000 31.0951
270.6996 31.1000
270.6576 31.6000
270.6155 32.1000
270.6000 32.2840
270.5734 32.6000
270.5311 33.1000
270.5000 33.4679
270.4888 33.6000
270.4464 34.1000
270.4040 34.6000
270.4000 34.6467
270.3614 35.1000
270.3188 35.6000
270.3000 35.8205
270.2761 36.1000
270.2334 36.6000
270.2000 36.9895
270.1905 37.1000
270.1476 37.6000
270.1046 38.1000
270.1000 38.1536
270.0615 38.6000
270.0184 39.1000
270.0000 39.3129
269.9752 39.6000
269.9319 40.1000
269.9000 40.4675
269.8885 40.6000
269.8450 41.1000
269.8015 41.6000
269.8000 41.6175
269.7579 42.1000
269.7142 42.6000
269.7000 42.7629
269.6705 43.1000
269.6267 43.6000
269.6000 43.9037
269.5828 44.1000
269.5388 44.6000
269.5000 45.0401
269.4947 45.1000
269.4506 45.6000
269.4064 46.1000
269.4000 46.1721
269.3621 46.6000
269.3177 47.1000
269.3000 47.2996
269.2733 47.6000
269.2288 48.1000
269.2000 48.4229
269.1842 48.6000
269.1395 49.1000
269.1000 49.5420
269.0948 49.6000
269.0500 50.1000
269.0051 50.6000
269.0000 50.6568
268.9601 51.1000
268.9151 51.6000
268.9000 51.7674
268.8700 52.1000
268.8248 52.6000
268.8000 52.8739
268.7795 53.1000
268.7342 53.6000
268.7000 53.9764
268.6888 54.1000
268.6433 54.6000
268.6000 55.0750
268.5977 55.1000
268.5521 55.6000
268.5064 56.1000
268.5000 56.1694
268.4606 56.6000
268.4147 57.1000
268.4000 57.2599
268.3687 57.6000
268.3227 58.1000
268.3000 58.3466
268.2766 58.6000
268.2305 59.1000
268.2000 59.4295
268.1842 59.6000
268.1379 60.1000
268.1000 60.5085
268.0915 60.6000
268.0450 61.1000
268.0000 61.5838
267.9985 61.6000
267.9519 62.1000
267.9052 62.6000
267.9000 62.6554
267.8584 63.1000
267.8116 63.6000
267.8000 63.7232
267.7646 64.1000
267.7176 64.6000
267.7000 64.7875
267.6706 65.1000
267.6234 65.6000
267.6000 65.8481
267.5762 66.1000
267.5289 66.6000
267.5000 66.9052
267.4815 67.1000
267.4341 67.6000
267.4000 67.9588
267.3866 68.1000
267.3390 68.6000
267.3000 69.0088
267.2913 69.1000
267.2436 69.6000
267.2000 70.0555
267.1957 70.1000
267.1478 70.6000
267.1000 71.0987
267.0999 71.1000
267.0518 71.6000
267.0037 72.1000
267.0000 72.1384
266.9555 72.6000
266.9072 73.1000
266.9000 73.1749
266.8589 73.6000
266.8105 74.1000
266.8000 74.2080
266.7620 74.6000
266.7134 75.1000
266.7000 75.2378
266.6648 75.6000
266.6160 76.1000
266.6000 76.2643
266.5672 76.6000
266.5184 77.1000
266.5000 77.2877
266.4694 77.6000
266.4204 78.1000
266.4000 78.3078
266.3713 78.6000
266.3221 79.1000
266.3000 79.3248
266.2729 79.6000
266.2236 80.1000
266.2000 80.3386
266.1742 80.6000
266.1247 81.1000
266.1000 81.3494
266.0752 81.6000
266.0255 82.1000
266.0000 82.3570
265.9758 82.6000
265.9261 83.1000
265.9000 83.3616
265.8762 83.6000
265.8263 84.1000
265.8000 84.3632
265.7763 84.6000
265.7262 85.1000
265.7000 85.3617
265.6761 85.6000
