SF_Version 0.9.3
03-Sep-2024 23:12:15
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
201.9335 670.8401 273.4063 634.3997 813.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
-4569.2863 -22.6278
-4556.0717 -22.5548
-4536.1213 -22.4449
-4516.1417 -22.3350
-4513.9084 -22.3227
-4496.1331 -22.2251
-4476.0952 -22.1151
-4456.0282 -22.0051
-4435.9320 -21.8950
-4415.8066 -21.7849
-4395.6520 -21.6748
-4375.4682 -21.5647
-4355.2553 -21.4545
-4335.0132 -21.3442
-4333.1870 -21.3343
-4314.7422 -21.2340
-4294.4420 -21.1237
-4274.1127 -21.0133
-4253.7543 -20.9030
-4233.3667 -20.7926
-4212.9501 -20.6821
-4192.5043 -20.5717
-4172.0294 -20.4612
-4151.5255 -20.3506
-4141.2910 -20.2955
-4130.9925 -20.2400
-4110.4306 -20.1294
-4089.8396 -20.0188
-4069.2195 -19.9081
-4048.5704 -19.7974
-4027.8922 -19.6867
-4007.1850 -19.5759
-3986.4488 -19.4651
-3965.6835 -19.3542
-3944.8893 -19.2434
-3936.4228 -19.1983
-3924.0661 -19.1325
-3903.2140 -19.0215
-3882.3329 -18.9105
-3861.4228 -18.7995
-3840.4838 -18.6885
-3819.5157 -18.5774
-3798.5187 -18.4663
-3777.4928 -18.3552
-3756.4379 -18.2440
-3735.3541 -18.1328
-3716.2032 -18.0319
-3714.2413 -18.0215
-3693.0998 -17.9103
-3671.9294 -17.7990
-3650.7300 -17.6876
-3629.5018 -17.5763
-3608.2446 -17.4649
-3586.9586 -17.3535
-3565.6436 -17.2420
-3544.2999 -17.1305
-3522.9272 -17.0190
-3501.5257 -16.9074
-3480.0953 -16.7958
-3477.3938 -16.7818
-3458.6362 -16.6842
-3437.1483 -16.5726
-3415.6316 -16.4609
-3394.0861 -16.3492
-3372.5117 -16.2374
-3350.9085 -16.1256
-3329.2766 -16.0138
-3307.6158 -15.9020
-3285.9262 -15.7901
-3264.2079 -15.6782
-3242.4608 -15.5663
-3220.6849 -15.4543
-3215.4711 -15.4276
-3198.8804 -15.3424
-3177.0471 -15.2303
-3155.1851 -15.1183
-3133.2944 -15.0062
-3111.3749 -14.8941
-3089.4267 -14.7819
-3067.4497 -14.6698
-3045.4441 -14.5576
-3023.4097 -14.4453
-3001.3467 -14.3331
-2979.2549 -14.2208
-2957.1345 -14.1085
-2934.9853 -13.9961
-2923.6832 -13.9388
-2912.8076 -13.8837
-2890.6012 -13.7713
-2868.3662 -13.6589
-2846.1025 -13.5464
-2823.8102 -13.4339
-2801.4892 -13.3214
-2779.1396 -13.2088
-2756.7613 -13.0963
-2734.3544 -12.9836
-2711.9189 -12.8710
-2689.4548 -12.7583
-2666.9620 -12.6456
-2644.4407 -12.5329
-2621.8907 -12.4201
