SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
273.4063 634.3997
273.4000 634.2682
273.3872 634.0000
273.3632 633.5000
273.3393 633.0000
273.3153 632.5000
273.3000 632.1811
273.2913 632.0000
273.2673 631.5000
273.2433 631.0000
273.2192 630.5000
273.2000 630.1004
273.1952 630.0000
273.1711 629.5000
273.1470 629.0000
273.1229 628.5000
273.1000 628.0262
273.0987 628.0000
273.0746 627.5000
273.0504 627.0000
273.0262 626.5000
273.0020 626.0000
273.0000 625.9583
272.9778 625.5000
272.9535 625.0000
272.9293 624.5000
272.9050 624.0000
272.9000 623.8967
272.8807 623.5000
272.8564 623.0000
272.8321 622.5000
272.8077 622.0000
272.8000 621.8414
272.7834 621.5000
272.7590 621.0000
272.7346 620.5000
272.7101 620.0000
272.7000 619.7924
272.6857 619.5000
272.6612 619.0000
272.6368 618.5000
272.6123 618.0000
272.6000 617.7495
272.5878 617.5000
272.5632 617.0000
272.5387 616.5000
272.5141 616.0000
272.5000 615.7129
272.4895 615.5000
272.4649 615.0000
272.4403 614.5000
272.4157 614.0000
272.4000 613.6825
272.3910 613.5000
272.3663 613.0000
272.3416 612.5000
272.3169 612.0000
272.3000 611.6582
272.2922 611.5000
272.2674 611.0000
272.2426 610.5000
272.2179 610.0000
272.2000 609.6400
272.1931 609.5000
272.1682 609.0000
272.1434 608.5000
272.1185 608.0000
272.1000 607.6279
272.0936 607.5000
272.0687 607.0000
272.0438 606.5000
272.0189 606.0000
272.0000 605.6219
271.9939 605.5000
271.9689 605.0000
271.9439 604.5000
271.9189 604.0000
271.9000 603.6219
271.8939 603.5000
271.8688 603.0000
271.8438 602.5000
271.8187 602.0000
271.8000 601.6279
271.7936 601.5000
271.7684 601.0000
271.7433 600.5000
271.7181 600.0000
271.7000 599.6398
271.6930 599.5000
271.6677 599.0000
271.6425 598.5000
271.6173 598.0000
271.6000 597.6578
271.5920 597.5000
271.5667 597.0000
271.5414 596.5000
271.5161 596.0000
271.5000 595.6816
271.4908 595.5000
271.4654 595.0000
271.4401 594.5000
271.4147 594.0000
271.4000 593.7113
271.3893 593.5000
271.3638 593.0000
271.3384 592.5000
271.3129 592.0000
271.3000 591.7470
271.2874 591.5000
271.2619 591.0000
271.2364 590.5000
271.2108 590.0000
271.2000 589.7884
271.1852 589.5000
271.1597 589.0000
271.1340 588.5000
271.1084 588.0000
271.1000 587.8357
271.0828 587.5000
271.0571 587.0000
271.0314 586.5000
271.0057 586.0000
271.0000 585.8887
270.9800 585.5000
270.9542 585.0000
270.9285 584.5000
270.9027 584.0000
270.9000 583.9475
270.8769 583.5000
270.8511 583.0000
270.8252 582.5000
270.8000 582.0121
270.7994 582.0000
270.7735 581.5000
270.7476 581.0000
270.7217 580.5000
270.7000 580.0824
270.6957 580.0000
270.6698 579.5000
270.6438 579.0000
270.6178 578.5000
270.6000 578.1584
270.5918 578.0000
270.5657 577.5000
270.5396 577.0000
270.5136 576.5000
270.5000 576.2401
270.4875 576.0000
270.4613 575.5000
270.4352 575.0000
270.4090 574.5000
270.4000 574.3274
270.3829 574.0000
270.3566 573.5000
270.3304 573.0000
270.3042 572.5000
270.3000 572.4203
270.2779 572.0000
270.2516 571.5000
270.2253 571.0000
270.2000 570.5188
270.1990 570.5000
270.1727 570.0000
270.1463 569.5000
270.1199 569.0000
270.1000 568.6229
270.0935 568.5000
270.0671 568.0000
270.0406 567.5000
270.0142 567.0000
270.0000 566.7325
269.9877 566.5000
269.9612 566.0000
269.9346 565.5000
269.9081 565.0000
269.9000 564.8477
269.8815 564.5000
269.8549 564.0000
269.8283 563.5000
269.8017 563.0000
269.8000 562.9683
269.7750 562.5000
269.7484 562.0000
269.7217 561.5000
269.7000 561.0944
269.6950 561.0000
269.6682 560.5000
269.6415 560.0000
269.6147 559.5000
269.6000 559.2260
269.5879 559.0000
269.5611 558.5000
269.5342 558.0000
269.5074 557.5000
269.5000 557.3630
269.4805 557.0000
269.4536 556.5000
269.4266 556.0000
269.4000 555.5054
269.3997 555.5000
269.3727 555.0000
269.3457 554.5000
269.3187 554.0000
269.3000 553.6533
269.2917 553.5000
269.2647 553.0000
269.2376 552.5000
269.2105 552.0000
269.2000 551.8064
269.1834 551.5000
269.1562 551.0000
269.1291 550.5000
269.1019 550.0000
269.1000 549.9649
269.0747 549.5000
269.0475 549.0000
269.0202 548.5000
269.0000 548.1288
268.9930 548.0000
268.9657 547.5000
268.9384 547.0000
268.9111 546.5000
268.9000 546.2979
268.8837 546.0000
268.8563 545.5000
268.8289 545.0000
268.8015 544.5000
268.8000 544.4723
268.7741 544.0000
268.7466 543.5000
268.7191 543.0000
268.7000 542.6520
268.6916 542.5000
268.6641 542.0000
268.6366 541.5000
268.6090 541.0000
268.6000 540.8369
268.5814 540.5000
268.5538 540.0000
268.5262 539.5000
268.5000 539.0269
268.4985 539.0000
268.4708 538.5000
268.4431 538.0000
268.4154 537.5000
268.4000 537.2222
268.3877 537.0000
