SF_Version 0.9.3
03-Sep-2024 23:12:15
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
249.4176 355.5042 256.1641 350.1095 79.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
10298.9679 34862.6324
10298.1612 34768.0028
10297.2581 34654.6380
10296.3469 34541.1763
10295.4276 34427.6178
10294.5001 34313.9625
10293.5645 34200.2101
10293.2021 34156.4082
10292.6201 34086.3517
10291.6673 33972.3905
10290.7062 33858.3323
10289.7369 33744.1770
10288.7593 33629.9245
10287.7734 33515.5750
10287.2326 33453.2331
10286.7789 33401.1214
10285.7756 33286.5626
10284.7640 33171.9065
10283.7440 33057.1531
10282.7157 32942.3023
10281.6790 32827.3542
10280.9196 32743.6889
10280.6337 32712.3046
10279.5794 32597.1467
10278.5166 32481.8914
10277.4454 32366.5386
10276.3658 32251.0881
10275.2776 32135.5401
10274.2551 32027.6885
10274.1809 32019.8934
10273.0749 31904.1353
10271.9604 31788.2794
10270.8374 31672.3257
10269.7057 31556.2743
10268.5655 31440.1250
10267.4166 31323.8778
10267.2305 31305.1294
10266.2585 31207.5203
10265.0915 31091.0624
10263.9159 30974.5066
10262.7316 30857.8527
10261.5387 30741.1007
10260.3369 30624.2506
10259.8375 30575.9252
10259.1260 30507.2936
10257.9060 30390.2324
10256.6772 30273.0730
10255.4396 30155.8152
10254.1932 30038.4591
10252.9379 29921.0046
10252.0674 29839.9874
10251.6736 29803.4471
10250.3998 29685.7810
10249.1171 29568.0165
10247.8255 29450.1533
10246.5250 29332.1916
10245.2155 29214.1313
10243.9109 29097.2192
10243.8970 29095.9720
10242.5687 28977.6997
10241.2314 28859.3285
10239.8851 28740.8586
10238.5297 28622.2897
10237.1653 28503.6220
10235.7917 28384.8553
10235.3578 28347.4946
10234.4085 28265.9796
10233.0158 28147.0004
10231.6140 28027.9220
10230.2030 27908.7445
10228.7828 27789.4678
10227.3534 27670.0920
10226.3986 27590.7349
10225.9145 27550.6119
10224.4657 27431.0230
10223.0077 27311.3346
10221.5403 27191.5469
10220.0636 27071.6597
10219.1131 26994.7781
