SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
249.4176 355.5042
249.4000 355.2218
249.3846 355.0000
249.3499 354.5000
249.3151 354.0000
249.3000 353.7823
249.2804 353.5000
249.2456 353.0000
249.2107 352.5000
249.2000 352.3459
249.1759 352.0000
249.1410 351.5000
249.1061 351.0000
249.1000 350.9123
249.0712 350.5000
249.0363 350.0000
249.0013 349.5000
249.0000 349.4816
248.9663 349.0000
248.9313 348.5000
248.9000 348.0539
248.8962 348.0000
248.8612 347.5000
248.8261 347.0000
248.8000 346.6290
248.7909 346.5000
248.7558 346.0000
248.7206 345.5000
248.7000 345.2070
248.6854 345.0000
248.6502 344.5000
248.6150 344.0000
248.6000 343.7878
248.5797 343.5000
248.5444 343.0000
248.5091 342.5000
248.5000 342.3715
248.4737 342.0000
248.4384 341.5000
248.4030 341.0000
248.4000 340.9580
248.3676 340.5000
248.3321 340.0000
248.3000 339.5473
248.2966 339.5000
248.2612 339.0000
248.2256 338.5000
248.2000 338.1394
248.1901 338.0000
248.1545 337.5000
248.1189 337.0000
248.1000 336.7343
248.0833 336.5000
248.0477 336.0000
248.0120 335.5000
248.0000 335.3319
247.9763 335.0000
247.9406 334.5000
247.9048 334.0000
247.9000 333.9323
247.8691 333.5000
247.8333 333.0000
247.8000 332.5354
247.7975 332.5000
247.7616 332.0000
247.7258 331.5000
247.7000 331.1412
247.6899 331.0000
247.6539 330.5000
247.6180 330.0000
247.6000 329.7498
247.5820 329.5000
247.5460 329.0000
247.5100 328.5000
247.5000 328.3610
247.4740 328.0000
247.4379 327.5000
247.4018 327.0000
247.4000 326.9749
247.3657 326.5000
247.3295 326.0000
247.3000 325.5916
247.2934 325.5000
247.2572 325.0000
247.2210 324.5000
247.2000 324.2108
247.1847 324.0000
247.1484 323.5000
247.1122 323.0000
247.1000 322.8327
247.0758 322.5000
247.0395 322.0000
247.0031 321.5000
247.0000 321.4572
246.9667 321.0000
246.9303 320.5000
246.9000 320.0844
246.8938 320.0000
246.8574 319.5000
246.8209 319.0000
246.8000 318.7142
246.7844 318.5000
246.7478 318.0000
246.7112 317.5000
246.7000 317.3465
246.6746 317.0000
246.6380 316.5000
246.6014 316.0000
246.6000 315.9814
246.5647 315.5000
246.5280 315.0000
246.5000 314.6189
246.4913 314.5000
246.4545 314.0000
246.4177 313.5000
246.4000 313.2590
246.3809 313.0000
246.3441 312.5000
246.3073 312.0000
246.3000 311.9015
246.2704 311.5000
246.2335 311.0000
246.2000 310.5467
246.1966 310.5000
246.1596 310.0000
246.1226 309.5000
246.1000 309.1943
246.0856 309.0000
246.0486 308.5000
246.0115 308.0000
246.0000 307.8445
245.9745 307.5000
245.9373 307.0000
245.9002 306.5000
245.9000 306.4971
245.8631 306.0000
245.8259 305.5000
245.8000 305.1522
245.7887 305.0000
245.7514 304.5000
245.7142 304.0000
245.7000 303.8099
245.6769 303.5000
245.6396 303.0000
245.6023 302.5000
245.6000 302.4699
245.5649 302.0000
245.5275 301.5000
245.5000 301.1324
245.4901 301.0000
245.4527 300.5000
245.4152 300.0000
245.4000 299.7974
245.3777 299.5000
245.3402 299.0000
245.3027 298.5000
245.3000 298.4647
245.2651 298.0000
245.2275 297.5000
245.2000 297.1346
245.1899 297.0000
245.1522 296.5000
245.1146 296.0000
245.1000 295.8068
245.0769 295.5000
245.0392 295.0000
245.0014 294.5000
245.0000 294.4813
244.9636 294.0000
244.9258 293.5000
244.9000 293.1583
244.8880 293.0000
244.8502 292.5000
244.8123 292.0000
244.8000 291.8377
244.7744 291.5000
244.7365 291.0000
244.7000 290.5194
244.6985 290.5000
244.6606 290.0000
244.6226 289.5000
244.6000 289.2035
244.5845 289.0000
244.5465 288.5000
244.5084 288.0000
244.5000 287.8898
244.4703 287.5000
244.4322 287.0000
244.4000 286.5786
244.3940 286.5000
244.3558 286.0000
244.3176 285.5000
244.3000 285.2697
244.2794 285.0000
244.2411 284.5000
244.2028 284.0000
244.2000 283.9630
244.1645 283.5000
244.1262 283.0000
244.1000 282.6587
244.0878 282.5000
244.0494 282.0000
244.0110 281.5000
244.0000 281.3566
243.9726 281.0000
243.9341 280.5000
243.9000 280.0568
243.8956 280.0000
243.8571 279.5000
243.8186 279.0000
243.8000 278.7594
243.7800 278.5000
243.7414 278.0000
243.7028 277.5000
243.7000 277.4641
243.6641 277.0000
243.6255 276.5000
243.6000 276.1711
243.5868 276.0000
243.5480 275.5000
243.5093 275.0000
243.5000 274.8804
243.4705 274.5000
243.4317 274.0000
243.4000 273.5918
243.3929 273.5000
243.3540 273.0000
243.3151 272.5000
243.3000 272.3055
243.2762 272.0000
243.2373 271.5000
243.2000 271.0214
243.1983 271.0000
243.1593 270.5000
243.1203 270.0000
243.1000 269.7396
243.0813 269.5000
243.0422 269.0000
243.0031 268.5000
243.0000 268.4598
242.9640 268.0000
242.9249 267.5000
242.9000 267.1823
242.8857 267.0000
242.8465 266.5000
242.8073 266.0000
242.8000 265.9070
