SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
258.1601 495.0000 228.2842 100.0000 1090.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
-53835.1088 -208.5338
-53833.2475 -208.5493
-53831.3804 -208.5647
-53831.1169 -208.5669
-53829.5070 -208.5802
-53827.6277 -208.5956
-53825.7426 -208.6111
-53824.4304 -208.6218
-53823.8515 -208.6265
-53821.9542 -208.6420
-53820.0511 -208.6575
-53818.1422 -208.6729
-53817.6882 -208.6766
-53816.2271 -208.6884
-53814.3060 -208.7038
-53812.3791 -208.7193
-53810.8908 -208.7311
-53810.4463 -208.7347
-53808.5072 -208.7501
-53806.5623 -208.7656
-53804.6116 -208.7810
-53804.0386 -208.7856
-53802.6547 -208.7965
-53800.6918 -208.8119
-53798.7231 -208.8274
-53797.1320 -208.8398
-53796.7484 -208.8428
-53794.7675 -208.8582
-53792.7808 -208.8737
-53790.7882 -208.8891
-53790.1715 -208.8939
-53788.7894 -208.9045
-53786.7846 -208.9200
-53784.7740 -208.9354
-53783.1576 -208.9478
-53782.7575 -208.9508
-53780.7346 -208.9663
-53778.7060 -208.9817
-53776.6715 -208.9971
-53776.0904 -209.0015
-53774.6307 -209.0125
-53772.5840 -209.0280
-53770.5314 -209.0434
-53768.9706 -209.0551
-53768.4729 -209.0588
-53766.4081 -209.0742
-53764.3374 -209.0897
-53762.2609 -209.1051
-53761.7985 -209.1085
-53760.1782 -209.1205
-53758.0894 -209.1359
-53755.9948 -209.1513
-53754.5744 -209.1618
-53753.8942 -209.1668
-53751.7873 -209.1822
-53749.6746 -209.1976
-53747.5560 -209.2130
-53747.2988 -209.2149
-53745.4311 -209.2284
-53743.3003 -209.2438
-53741.1635 -209.2592
-53739.9719 -209.2678
-53739.0207 -209.2746
-53736.8717 -209.2900
-53734.7168 -209.3055
-53732.5942 -209.3206
-53732.5561 -209.3209
-53730.3889 -209.3363
-53728.2158 -209.3517
-53726.0369 -209.3671
-53725.1659 -209.3732
-53723.8517 -209.3825
-53721.6605 -209.3979
-53719.4634 -209.4133
-53717.6875 -209.4257
-53717.2602 -209.4287
-53715.0508 -209.4441
-53712.8354 -209.4595
-53710.6142 -209.4749
-53710.1592 -209.4780
-53708.3866 -209.4902
-53706.1530 -209.5056
-53703.9135 -209.5210
-53702.5813 -209.5302
-53701.6678 -209.5364
-53699.4160 -209.5518
-53697.1582 -209.5672
-53694.9543 -209.5822
-53694.8945 -209.5826
-53692.6243 -209.5980
-53690.3483 -209.6134
-53688.0663 -209.6287
-53687.2783 -209.6340
-53685.7780 -209.6441
-53683.4837 -209.6595
-53681.1833 -209.6749
-53679.5538 -209.6858
-53678.8769 -209.6903
-53676.5642 -209.7056
-53674.2456 -209.7210
-53671.9210 -209.7364
-53671.7810 -209.7373
-53669.5899 -209.7518
-53667.2529 -209.7671
-53664.9099 -209.7825
-53663.9601 -209.7887
-53662.5607 -209.7979
-53660.2053 -209.8133
-53657.8439 -209.8286
-53656.0916 -209.8400
-53655.4764 -209.8440
-53653.1026 -209.8594
-53650.7228 -209.8747
-53648.3370 -209.8901
-53648.1756 -209.8911
-53645.9448 -209.9055
-53643.5465 -209.9208
-53641.1423 -209.9362
-53640.2124 -209.9421
-53638.7318 -209.9516
-53636.3150 -209.9669
-53633.8923 -209.9823
-53632.2023 -209.9930
-53631.4634 -209.9976
-53629.0282 -210.0130
-53626.5870 -210.0283
-53624.1457 -210.0437
-53624.1397 -210.0437
-53621.6860 -210.0590
-53619.2262 -210.0744
-53616.7604 -210.0897
-53616.0425 -210.0942
-53614.2882 -210.1051
-53611.8099 -210.1204
-53609.3255 -210.1358
-53607.8933 -210.1446
-53606.8349 -210.1511
-53604.3379 -210.1665
-53601.8349 -210.1818
-53599.6982 -210.1949
-53599.3258 -210.1972
-53596.8103 -210.2125
-53594.2886 -210.2278
-53591.7610 -210.2432
-53591.4575 -210.2450
-53589.2268 -210.2585
-53586.6865 -210.2739
-53584.1401 -210.2892
-53583.1714 -210.2950
-53581.5874 -210.3045
-53579.0284 -210.3199
-53576.4634 -210.3352
-53574.8401 -210.3449
-53573.8920 -210.3505
-53571.3143 -210.3659
-53568.7305 -210.3812
-53566.4640 -210.3946
-53566.1406 -210.3965
-53563.5441 -210.4118
-53560.9415 -210.4272
-53558.3328 -210.4425
-53558.0431 -210.4442
-53555.7176 -210.4578
-53553.0962 -210.4731
-53550.4687 -210.4884
-53549.5777 -210.4936
-53547.8348 -210.5038
-53545.1945 -210.5191
-53542.5482 -210.5344
-53541.0680 -210.5429
-53539.8955 -210.5497
-53537.2364 -210.5650
-53534.5712 -210.5803
-53532.5143 -210.5921
-53531.8997 -210.5956
-53529.2217 -210.6109
-53526.5375 -210.6262
-53523.9169 -210.6412
-53523.8472 -210.6415
-53521.1503 -210.6569
-53518.4472 -210.6722
-53515.7379 -210.6875
-53515.2757 -210.6901
-53513.0221 -210.7028
-53510.2999 -210.7181
-53507.5717 -210.7333
-53506.5910 -210.7388
-53504.8369 -210.7486
-53502.0958 -210.7639
-53499.3485 -210.7792
-53497.8632 -210.7875
-53496.5948 -210.7945
-53493.8346 -210.8098
-53491.0682 -210.8251
-53489.0923 -210.8360
-53488.2955 -210.8404
-53485.5162 -210.8557
-53482.7307 -210.8710
-53480.2786 -210.8844
-53479.9390 -210.8862
-53477.1406 -210.9015
-53474.3359 -210.9168
-53471.5251 -210.9321
-53471.4223 -210.9326
-53468.7075 -210.9473
-53465.8837 -210.9626
-53463.0536 -210.9779
-53462.5234 -210.9808
-53460.2169 -210.9932
-53457.3738 -211.0084
-53454.5246 -211.0237
-53453.5822 -211.0287
-53451.6687 -211.0390
-53448.8063 -211.0542
-53445.9378 -211.0695
-53444.5989 -211.0766
-53443.0627 -211.0848
-53440.1810 -211.1000
-53437.2932 -211.1153
-53435.5737 -211.1243
-53434.3988 -211.1305
-53431.4978 -211.1458
-53428.5906 -211.1611
-53426.5068 -211.1720
-53425.6769 -211.1763
-53422.7565 -211.1916
-53419.8299 -211.2068
-53417.3982 -211.2194
-53416.8969 -211.2221
-53413.9571 -211.2373
-53411.0110 -211.2525
-53408.2482 -211.2668
-53408.0586 -211.2678
-53405.0993 -211.2830
-53402.1338 -211.2983
-53399.1619 -211.3135
-53399.0569 -211.3140
-53396.1832 -211.3287
-53393.1981 -211.3440
-53390.2067 -211.3592
-53389.8246 -211.3611
-53387.2085 -211.3744
-53384.2038 -211.3897
-53381.1929 -211.4049
-53380.5512 -211.4081
-53378.1751 -211.4201
-53375.1508 -211.4353
-53372.1202 -211.4506
-53371.2371 -211.4550
-53369.0829 -211.4658
-53366.0390 -211.4810
-53362.9887 -211.4962
-53361.8824 -211.5017
-53359.9317 -211.5114
-53356.8681 -211.5266
-53353.7982 -211.5418
-53352.4872 -211.5483
-53350.7215 -211.5570
-53347.6382 -211.5723
-53344.5485 -211.5875
-53343.0517 -211.5948
-53341.4520 -211.6027
-53338.3489 -211.6179
-53335.2395 -211.6331
-53333.5760 -211.6412
-53332.1233 -211.6483
-53329.0004 -211.6634
-53325.8710 -211.6786
-53324.0602 -211.6874
-53322.7350 -211.6938
-53319.5922 -211.7090
-53316.4430 -211.7242
-53314.5046 -211.7335
-53313.2872 -211.7394
-53310.1245 -211.7546
-53306.9554 -211.7698
-53304.9093 -211.7795
-53303.7796 -211.7849
-53300.5969 -211.8001
-53297.4078 -211.8153
-53295.2743 -211.8254
-53294.2121 -211.8305
-53291.0095 -211.8456
-53287.8004 -211.8608
-53285.5999 -211.8712
-53284.5846 -211.8760
-53281.3619 -211.8911
-53278.1328 -211.9063
-53275.8862 -211.9168
-53274.8969 -211.9214
-53271.6542 -211.9366
-53268.4049 -211.9518
-53266.1333 -211.9623
-53265.1490 -211.9669
-53261.8861 -211.9821
-53258.6167 -211.9972
-53256.3414 -212.0077
-53255.3406 -212.0124
-53252.0576 -212.0275
-53248.7680 -212.0426
-53246.5105 -212.0530
-53245.4717 -212.0578
-53242.1684 -212.0729
-53238.8586 -212.0880
-53236.6409 -212.0982
-53235.5420 -212.1032
-53232.2185 -212.1183
-53228.8884 -212.1334
-53226.7326 -212.1432
-53225.5515 -212.1486
-53222.2077 -212.1637
-53218.8573 -212.1788
-53216.7859 -212.1881
-53215.5001 -212.1939
-53212.1359 -212.2090
-53208.7651 -212.2242
-53206.8008 -212.2329
-53205.3875 -212.2393
-53202.0029 -212.2544
-53198.6117 -212.2695
-53196.7774 -212.2776
-53195.2136 -212.2846
-53191.8086 -212.2997
-53188.3969 -212.3148
-53186.7159 -212.3222
-53184.9784 -212.3299
-53181.5528 -212.3450
-53178.1207 -212.3601
-53176.6165 -212.3667
-53174.6816 -212.3752
-53171.2355 -212.3903
-53167.7828 -212.4053
-53166.4791 -212.4110
-53164.3231 -212.4204
-53160.8565 -212.4355
-53157.3832 -212.4506
-53156.3041 -212.4552
-53153.9028 -212.4656
-53150.4156 -212.4807
-53146.9217 -212.4958
-53146.0915 -212.4994
-53143.4206 -212.5109
-53139.9127 -212.5259
-53136.3981 -212.5410
-53135.8414 -212.5434
-53132.8763 -212.5560
-53129.3477 -212.5711
-53125.8124 -212.5862
-53125.5540 -212.5872
-53122.2698 -212.6012
-53118.7204 -212.6162
-53115.2293 -212.6310
-53115.1643 -212.6313
-53111.6009 -212.6463
-53108.0307 -212.6614
-53104.8676 -212.6747
-53104.4538 -212.6764
-53100.8695 -212.6915
-53097.2785 -212.7065
-53094.4689 -212.7182
-53093.6807 -212.7215
-53090.0755 -212.7365
-53086.4636 -212.7516
-53084.0334 -212.7617
-53082.8448 -212.7666
-53079.2188 -212.7816
-53075.5860 -212.7966
-53073.5611 -212.8050
-53071.9461 -212.8116
-53068.2991 -212.8266
-53064.6453 -212.8416
-53063.0523 -212.8482
-53060.9844 -212.8567
-53057.3164 -212.8717
-53053.6416 -212.8867
-53052.5070 -212.8913
-53049.9596 -212.9017
-53046.2706 -212.9166
-53042.5747 -212.9316
-53041.9254 -212.9343
-53038.8715 -212.9466
-53035.1614 -212.9616
-53031.4445 -212.9766
-53031.3076 -212.9771
-53027.7201 -212.9916
-53023.9889 -213.0065
-53020.6537 -213.0199
-53020.2507 -213.0215
-53016.5051 -213.0365
-53012.7527 -213.0515
-53009.9638 -213.0626
-53008.9933 -213.0664
-53005.2266 -213.0814
-53001.4529 -213.0963
-52999.2381 -213.1051
-52997.6722 -213.1113
-52993.8842 -213.1262
-52990.0893 -213.1412
-52988.4767 -213.1475
-52986.2872 -213.1561
-52982.4780 -213.1711
-52978.6618 -213.1860
-52977.6797 -213.1899
