SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
249.4176 355.5042 238.2371 209.8850 404.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
-53075.4132 -212.7957
-53073.5611 -212.8050
-53071.9461 -212.8116
-53068.2991 -212.8266
-53064.6453 -212.8416
-53063.0523 -212.8482
-53060.9844 -212.8567
-53057.3164 -212.8717
-53053.6416 -212.8867
-53052.5070 -212.8913
-53049.9596 -212.9017
-53046.2706 -212.9166
-53042.5747 -212.9316
-53041.9254 -212.9343
-53038.8715 -212.9466
-53035.1614 -212.9616
-53031.4445 -212.9766
-53031.3076 -212.9771
-53027.7201 -212.9916
-53023.9889 -213.0065
-53020.6537 -213.0199
-53020.2507 -213.0215
-53016.5051 -213.0365
-53012.7527 -213.0515
-53009.9638 -213.0626
-53008.9933 -213.0664
-53005.2266 -213.0814
-53001.4529 -213.0963
-52999.2381 -213.1051
-52997.6722 -213.1113
-52993.8842 -213.1262
-52990.0893 -213.1412
-52988.4767 -213.1475
-52986.2872 -213.1561
-52982.4780 -213.1711
-52978.6618 -213.1860
-52977.6797 -213.1899
-52974.8383 -213.2010
-52971.0077 -213.2159
-52967.1702 -213.2308
-52966.8473 -213.2321
-52963.3252 -213.2457
-52959.4733 -213.2607
-52955.9795 -213.2742
-52955.6144 -213.2756
-52951.7479 -213.2905
-52947.8746 -213.3054
-52945.0765 -213.3162
-52943.9942 -213.3203
-52940.1063 -213.3352
-52936.2116 -213.3502
-52934.1385 -213.3581
-52932.3095 -213.3651
-52928.4002 -213.3800
-52924.4840 -213.3949
-52923.1655 -213.3999
-52920.5603 -213.4097
-52916.6295 -213.4246
-52912.6918 -213.4395
-52912.1576 -213.4415
-52908.7465 -213.4544
-52904.7942 -213.4693
-52901.1151 -213.4831
-52900.8348 -213.4842
-52896.8679 -213.4990
-52892.8939 -213.5139
-52890.0380 -213.5246
-52888.9129 -213.5288
-52884.9243 -213.5436
-52880.9288 -213.5585
-52878.9265 -213.5659
-52876.9259 -213.5734
-52872.9158 -213.5882
-52868.8986 -213.6031
-52867.7806 -213.6072
-52864.8739 -213.6179
-52860.8421 -213.6328
-52856.8032 -213.6476
-52856.6006 -213.6483
-52852.7567 -213.6624
-52848.7031 -213.6773
-52845.3865 -213.6894
-52844.6424 -213.6921
-52840.5742 -213.7069
-52836.4989 -213.7218
-52834.1384 -213.7303
-52832.4162 -213.7366
-52828.3262 -213.7514
-52824.2291 -213.7662
-52822.8566 -213.7712
-52820.1246 -213.7810
-52816.0127 -213.7958
-52811.8938 -213.8106
-52811.5411 -213.8119
-52807.7673 -213.8254
-52803.6336 -213.8402
-52800.1920 -213.8525
-52799.4927 -213.8550
-52795.3443 -213.8698
-52791.1887 -213.8846
-52788.8096 -213.8931
-52787.0258 -213.8994
-52782.8555 -213.9142
-52778.6780 -213.9290
-52777.3938 -213.9335
-52774.4930 -213.9437
-52770.3007 -213.9585
-52766.1014 -213.9733
-52765.9449 -213.9738
-52761.8942 -213.9880
-52757.6800 -214.0028
-52754.4630 -214.0140
-52753.4585 -214.0176
-52749.2294 -214.0323
-52744.9932 -214.0471
-52742.9482 -214.0542
-52740.7495 -214.0618
-52736.4984 -214.0766
-52732.2401 -214.0913
-52731.4006 -214.0942
-52727.9742 -214.1060
-52723.7011 -214.1208
-52719.8204 -214.1341
-52719.4207 -214.1355
-52715.1326 -214.1502
-52710.8374 -214.1649
-52708.2077 -214.1739
-52706.5348 -214.1797
-52702.2246 -214.1944
-52697.9073 -214.2091
-52696.5626 -214.2137
-52693.5824 -214.2238
-52689.2501 -214.2385
-52684.9107 -214.2532
-52684.8852 -214.2533
-52680.5634 -214.2679
-52676.2089 -214.2826
-52673.1758 -214.2928
-52671.8471 -214.2973
-52667.4777 -214.3120
-52663.1011 -214.3267
-52661.4344 -214.3322
-52658.7169 -214.3413
-52654.3252 -214.3560
-52649.9265 -214.3707
-52649.6611 -214.3716
-52645.5198 -214.3854
-52641.1060 -214.4000
-52637.8562 -214.4108
-52636.6847 -214.4147
-52632.2558 -214.4294
-52627.8197 -214.4440
-52626.0197 -214.4500
-52623.3760 -214.4587
-52618.9248 -214.4733
-52614.4665 -214.4880
-52614.1516 -214.4890
-52610.0003 -214.5026
-52605.5268 -214.5172
-52602.2523 -214.5279
-52601.0459 -214.5319
-52596.5574 -214.5465
-52592.0616 -214.5611
-52590.3217 -214.5668
-52587.5581 -214.5758
-52583.0472 -214.5904
-52578.5291 -214.6050
-52578.3600 -214.6056
-52574.0031 -214.6196
-52569.4698 -214.6342
-52566.3675 -214.6442
-52564.9291 -214.6488
-52560.3806 -214.6634
-52555.8250 -214.6780
-52554.3441 -214.6828
-52551.2616 -214.6926
-52546.6907 -214.7072
-52542.2899 -214.7212
-52542.1126 -214.7218
-52537.5266 -214.7364
-52532.9333 -214.7510
-52530.2053 -214.7596
-52528.3325 -214.7656
-52523.7240 -214.7801
-52519.1083 -214.7947
-52518.0901 -214.7979
-52514.4847 -214.8093
-52509.8537 -214.8238
-52505.9447 -214.8361
-52505.2154 -214.8384
-52500.5692 -214.8529
-52495.9157 -214.8675
-52493.7690 -214.8742
-52491.2546 -214.8821
-52486.5858 -214.8966
-52481.9099 -214.9111
-52481.5632 -214.9122
-52477.2259 -214.9257
-52472.5346 -214.9402
-52469.3275 -214.9501
-52467.8358 -214.9547
-52463.1292 -214.9693
-52458.4154 -214.9838
-52457.0620 -214.9880
-52453.6937 -214.9983
-52448.9645 -215.0128
-52444.7666 -215.0257
-52444.2280 -215.0273
-52439.4835 -215.0418
-52434.7317 -215.0564
-52432.4417 -215.0633
-52429.9722 -215.0709
-52425.2051 -215.0854
-52420.4307 -215.0998
-52420.0873 -215.1009
-52415.6482 -215.1143
-52410.8584 -215.1288
-52407.7035 -215.1384
-52406.0610 -215.1433
-52401.2558 -215.1578
-52396.4434 -215.1723
-52395.2904 -215.1757
-52391.6230 -215.1867
-52386.7951 -215.2012
-52382.8482 -215.2130
-52381.9597 -215.2157
-52377.1164 -215.2301
-52372.2657 -215.2446
-52370.3769 -215.2502
-52367.4073 -215.2590
-52362.5412 -215.2735
-52357.8766 -215.2873
-52357.6678 -215.2879
-52352.7862 -215.3024
-52347.8974 -215.3168
-52345.3475 -215.3243
-52343.0008 -215.3313
-52338.0965 -215.3457
-52333.1848 -215.3601
-52332.7897 -215.3613
-52328.2650 -215.3745
-52323.3378 -215.3890
-52320.2032 -215.3981
-52318.4030 -215.4034
-52313.4603 -215.4178
-52308.5103 -215.4322
-52307.5882 -215.4349
-52303.5522 -215.4466
-52298.5866 -215.4610
-52294.9448 -215.4715
-52293.6135 -215.4754
-52288.6323 -215.4898
-52283.6438 -215.5042
-52282.2731 -215.5081
-52278.6474 -215.5186
-52273.6433 -215.5330
-52269.5731 -215.5446
-52268.6317 -215.5473
-52263.6120 -215.5617
-52258.5850 -215.5761
-52256.8450 -215.5810
-52253.5500 -215.5904
-52248.5074 -215.6048
-52244.0888 -215.6174
-52243.4572 -215.6192
-52238.3989 -215.6335
-52233.3333 -215.6479
-52231.3048 -215.6536
-52228.2597 -215.6622
-52223.1784 -215.6766
-52218.4928 -215.6898
-52218.0896 -215.6909
-52212.9926 -215.7052
-52207.8882 -215.7196
-52205.6532 -215.7258
-52202.7759 -215.7339
-52197.6558 -215.7482
-52192.7857 -215.7618
-52192.5282 -215.7625
-52187.3924 -215.7769
-52182.2492 -215.7912
-52179.8909 -215.7977
-52177.0981 -215.8055
-52171.9391 -215.8198
-52166.9684 -215.8335
-52166.7727 -215.8341
-52161.5980 -215.8484
-52156.4158 -215.8627
-52154.0187 -215.8693
-52151.2258 -215.8770
-52146.0279 -215.8913
-52141.0416 -215.9049
-52140.8224 -215.9055
-52135.6088 -215.9198
-52130.3876 -215.9341
-52128.0374 -215.9405
-52125.1585 -215.9484
-52119.9215 -215.9626
-52115.0059 -215.9760
-52114.6770 -215.9769
-52109.4242 -215.9911
-52104.1640 -216.0054
-52101.9476 -216.0114
-52098.8957 -216.0196
-52093.6196 -216.0339
-52088.8621 -216.0467
-52088.3359 -216.0481
-52083.0439 -216.0624
-52077.7444 -216.0766
-52075.7499 -216.0819
-52072.4369 -216.0908
-52067.1215 -216.1051
-52062.6109 -216.1171
-52061.7985 -216.1193
-52056.4673 -216.1335
-52051.1285 -216.1477
-52049.4452 -216.1522
-52045.7816 -216.1619
-52040.4268 -216.1761
-52036.2529 -216.1872
-52035.0644 -216.1903
-52029.6938 -216.2045
-52024.3156 -216.2187
-52023.0341 -216.2221
-52018.9292 -216.2329
-52013.5350 -216.2471
-52009.7889 -216.2569
-52008.1331 -216.2613
-52002.7230 -216.2754
-51997.3053 -216.2896
-51996.5173 -216.2917
-51991.8793 -216.3038
-51986.4456 -216.3179
-51983.2195 -216.3263
-51981.0040 -216.3321
-51975.5543 -216.3463
-51970.0970 -216.3604
-51969.8954 -216.3609
-51964.6313 -216.3746
-51959.1580 -216.3887
-51956.5454 -216.3954
-51953.6767 -216.4028
-51948.1873 -216.4170
-51943.1693 -216.4299
-51942.6903 -216.4311
-51937.1849 -216.4452
-51931.6718 -216.4593
-51929.7673 -216.4642
-51926.1506 -216.4735
-51920.6215 -216.4876
-51916.3395 -216.4985
-51915.0846 -216.5017
-51909.5394 -216.5158
-51903.9865 -216.5299
-51902.8859 -216.5327
-51898.4254 -216.5440
-51892.8564 -216.5581
-51889.4067 -216.5668
-51887.2795 -216.5722
-51881.6944 -216.5863
-51876.1017 -216.6003
-51875.9018 -216.6008
-51870.5005 -216.6144
-51864.8916 -216.6285
-51862.3716 -216.6348
-51859.2746 -216.6426
-51853.6496 -216.6566
-51848.8159 -216.6687
-51848.0167 -216.6707
-51842.3755 -216.6847
-51836.7266 -216.6988
-51835.2350 -216.7025
-51831.0694 -216.7128
-51825.4043 -216.7269
-51821.6288 -216.7362
-51819.7313 -216.7409
-51814.0500 -216.7549
-51808.3610 -216.7690
-51807.9974 -216.7699
-51802.6635 -216.7830
-51796.9583 -216.7970
-51794.3412 -216.8034
-51791.2450 -216.8110
-51785.5235 -216.8250
-51780.6598 -216.8369
-51779.7942 -216.8390
-51774.0565 -216.8530
-51768.3111 -216.8670
-51766.9537 -216.8704
-51762.5574 -216.8810
-51756.7957 -216.8950
-51753.2228 -216.9037
-51751.0260 -216.9090
-51745.2481 -216.9230
-51739.4671 -216.9370
-51739.4624 -216.9370
-51733.6682 -216.9510
-51727.8662 -216.9649
-51725.6871 -216.9702
-51722.0560 -216.9789
-51716.2377 -216.9928
-51711.8824 -217.0033
-51710.4115 -217.0068
