SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
 0.1000 1071.2224
 0.1904 1071.0000
 0.5971 1070.0000
 0.6000 1069.9930
 1.0038 1069.0000
 1.1000 1068.7636
 1.4106 1068.0000
 1.6000 1067.5342
 1.8173 1067.0000
 2.1000 1066.3049
 2.2240 1066.0000
 2.6000 1065.0758
 2.6309 1065.0000
 3.0378 1064.0000
 3.1000 1063.8471
 3.4448 1063.0000
 3.6000 1062.6189
 3.8521 1062.0000
 4.1000 1061.3916
 4.2597 1061.0000
 4.6000 1060.1655
 4.6676 1060.0000
 5.0759 1059.0000
 5.1000 1058.9409
 5.4847 1058.0000
 5.6000 1057.7181
 5.8942 1057.0000
 6.1000 1056.4976
 6.3042 1056.0000
 6.6000 1055.2795
 6.7150 1055.0000
 7.1000 1054.0643
 7.1265 1054.0000
 7.5390 1053.0000
 7.6000 1052.8522
 7.9525 1052.0000
 8.1000 1051.6435
 8.3670 1051.0000
 8.6000 1050.4385
 8.7825 1050.0000
 9.1000 1049.2373
 9.1991 1049.0000
 9.6000 1048.0400
 9.6168 1048.0000
10.0359 1047.0000
10.1000 1046.8470
10.4562 1046.0000
10.6000 1045.6582
10.8778 1045.0000
11.1000 1044.4737
11.3007 1044.0000
11.6000 1043.2937
11.7249 1043.0000
12.1000 1042.1182
12.1505 1042.0000
12.5774 1041.0000
12.6000 1040.9472
13.0060 1040.0000
13.1000 1039.7807
13.4359 1039.0000
13.6000 1038.6186
13.8672 1038.0000
14.1000 1037.4611
14.2999 1037.0000
14.6000 1036.3080
14.7340 1036.0000
15.1000 1035.1593
15.1696 1035.0000
15.6000 1034.0148
15.6065 1034.0000
16.0450 1033.0000
16.1000 1032.8747
16.4850 1032.0000
16.6000 1031.7387
16.9263 1031.0000
17.1000 1030.6068
17.3690 1030.0000
17.6000 1029.4789
17.8131 1029.0000
18.1000 1028.3550
18.2585 1028.0000
18.6000 1027.2349
18.7052 1027.0000
19.1000 1026.1186
19.1533 1026.0000
19.6000 1025.0060
19.6027 1025.0000
20.0536 1024.0000
20.1000 1023.8970
20.5057 1023.0000
20.6000 1022.7916
20.9592 1022.0000
21.1000 1021.6896
21.4139 1021.0000
21.6000 1020.5910
21.8698 1020.0000
22.1000 1019.4958
22.3270 1019.0000
22.6000 1018.4038
22.7854 1018.0000
23.1000 1017.3150
23.2450 1017.0000
23.6000 1016.2293
23.7059 1016.0000
24.1000 1015.1467
24.1680 1015.0000
24.6000 1014.0672
24.6312 1014.0000
25.0957 1013.0000
25.1000 1012.9906
25.5614 1012.0000
25.6000 1011.9171
26.0283 1011.0000
26.1000 1010.8464
26.4963 1010.0000
26.6000 1009.7786
26.9655 1009.0000
27.1000 1008.7136
27.4359 1008.0000
27.6000 1007.6515
27.9075 1007.0000
28.1000 1006.5921
28.3802 1006.0000
28.6000 1005.5354
28.8540 1005.0000
29.1000 1004.4815
29.3290 1004.0000
29.6000 1003.4304
29.8052 1003.0000
30.1000 1002.3819
30.2826 1002.0000
30.6000 1001.3361
30.7611 1001.0000
31.1000 1000.2929
31.2407 1000.0000
31.6000 999.2524
31.7216 999.0000
32.1000 998.2146
32.2036 998.0000
32.6000 997.1793
32.6868 997.0000
33.1000 996.1467
33.1712 996.0000
33.6000 995.1167
33.6568 995.0000
34.1000 994.0894
34.1436 994.0000
34.6000 993.0646
34.6316 993.0000
35.1000 992.0424
35.1208 992.0000
35.6000 991.0228
35.6112 991.0000
36.1000 990.0058
36.1029 990.0000
36.5958 989.0000
36.6000 988.9914
37.0899 988.0000
37.1000 987.9796
37.5853 987.0000
37.6000 986.9704
38.0820 986.0000
38.1000 985.9637
38.5799 985.0000
38.6000 984.9596
39.0791 984.0000
39.1000 983.9582
39.5796 983.0000
39.6000 982.9593
40.0814 982.0000
40.1000 981.9629
40.5845 981.0000
40.6000 980.9692
41.0889 980.0000
41.1000 979.9781
41.5947 979.0000
41.6000 978.9895
42.1000 978.0035
42.1018 978.0000
42.6000 977.0201
42.6102 977.0000
43.1000 976.0392
43.1201 976.0000
43.6000 975.0610
43.6313 975.0000
44.1000 974.0853
44.1438 974.0000
44.6000 973.1122
44.6578 973.0000
45.1000 972.1417
45.1732 972.0000
45.6000 971.1737
45.6900 971.0000
46.1000 970.2083
46.2082 970.0000
46.6000 969.2455
46.7278 969.0000
47.1000 968.2852
47.2489 968.0000
47.6000 967.3275
47.7714 967.0000
48.1000 966.3723
48.2954 966.0000
48.6000 965.4197
48.8209 965.0000
49.1000 964.4696
49.3478 964.0000
49.6000 963.5221
49.8762 963.0000
50.1000 962.5770
50.4061 962.0000
50.6000 961.6345
50.9375 961.0000
51.1000 960.6946
51.4704 960.0000
51.6000 959.7571
52.0049 959.0000
52.1000 958.8221
52.5408 958.0000
52.6000 957.8896
53.0783 957.0000
53.1000 956.9596
53.6000 956.0321
53.6174 956.0000
54.1000 955.1071
54.1580 955.0000
54.6000 954.1845
54.7002 954.0000
55.1000 953.2643
