SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
238.2371 209.8850 251.1191 207.5930 134.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
8700.7095 36.5182
8699.3848 36.5060
8698.4923 36.4870
8697.5845 36.4679
8696.6616 36.4487
8695.7235 36.4295
8694.7701 36.4103
8693.8015 36.3910
8692.8176 36.3716
8691.8185 36.3522
8690.8040 36.3328
8689.7742 36.3133
8688.7290 36.2938
8687.6685 36.2742
8686.5925 36.2546
8685.5011 36.2349
8684.3943 36.2152
8683.2721 36.1954
8682.1343 36.1756
8680.9811 36.1557
8679.8123 36.1358
8678.6279 36.1158
8678.0007 36.1053
8677.4280 36.0958
8676.2124 36.0757
8674.9811 36.0556
8673.7343 36.0355
8672.4718 36.0152
8671.1936 35.9950
8669.8997 35.9747
8668.5901 35.9543
8667.2648 35.9339
8665.9237 35.9135
8664.5668 35.8930
8663.1942 35.8724
8661.8057 35.8518
8660.4013 35.8312
8658.9811 35.8105
8657.5450 35.7898
8656.0930 35.7690
8654.6251 35.7481
8653.1412 35.7273
8651.6414 35.7063
8650.1255 35.6853
8648.5937 35.6643
8647.0458 35.6432
8645.4819 35.6221
8643.9018 35.6009
8642.3057 35.5797
8640.6935 35.5584
8639.0651 35.5371
8638.9166 35.5351
8637.4204 35.5157
8635.7596 35.4943
8634.0825 35.4728
8632.3892 35.4513
8630.6797 35.4297
8628.9539 35.4081
8627.2118 35.3864
8625.4534 35.3647
8623.6787 35.3429
8621.8876 35.3211
8620.0801 35.2993
8618.2563 35.2774
8616.4160 35.2554
8614.5593 35.2334
8612.6861 35.2113
8610.7965 35.1892
8608.8903 35.1670
8606.9676 35.1448
8605.0284 35.1226
8603.0726 35.1003
8601.1002 35.0779
8599.1113 35.0555
8597.1057 35.0330
8595.0834 35.0105
8593.0444 34.9880
8590.9888 34.9654
8588.9165 34.9427
8586.8274 34.9200
8586.6285 34.9178
8584.7214 34.8972
8582.5987 34.8744
8580.4592 34.8516
8578.3028 34.8287
8576.1296 34.8057
8573.9395 34.7827
8571.7326 34.7597
8569.5087 34.7366
8567.2679 34.7134
8565.0102 34.6902
8562.7355 34.6669
8560.4438 34.6436
8558.1350 34.6203
8555.8093 34.5969
8553.4665 34.5734
8551.1066 34.5499
8548.7296 34.5264
8546.3355 34.5028
8543.9243 34.4791
8541.4959 34.4554
8539.0503 34.4317
8536.5875 34.4079
8534.1075 34.3840
8531.6102 34.3601
8529.0957 34.3361
8526.5638 34.3121
8524.0147 34.2881
8521.4482 34.2640
8519.9231 34.2497
8518.8643 34.2398
8516.2630 34.2156
8513.6443 34.1913
8511.0081 34.1670
8508.3545 34.1427
8505.6835 34.1183
8502.9950 34.0938
8500.2889 34.0693
8497.5654 34.0447
8494.8242 34.0201
8492.0656 33.9955
8489.2893 33.9707
8486.4954 33.9460
8483.6839 33.9212
8480.8547 33.8963
8478.0079 33.8714
8475.1433 33.8464
8472.2611 33.8214
8469.3610 33.7963
8466.4433 33.7712
8463.5077 33.7460
8460.5544 33.7208
8457.5832 33.6956
8454.0298 33.6654
