SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
357.0233 2300.0000
357.0077 2299.5000
357.0000 2299.2530
356.9921 2299.0000
356.9765 2298.5000
356.9609 2298.0000
356.9453 2297.5000
356.9297 2297.0000
356.9141 2296.5000
356.9000 2296.0482
356.8985 2296.0000
356.8829 2295.5000
356.8673 2295.0000
356.8516 2294.5000
356.8360 2294.0000
356.8204 2293.5000
356.8048 2293.0000
356.8000 2292.8478
356.7891 2292.5000
356.7735 2292.0000
356.7578 2291.5000
356.7422 2291.0000
356.7266 2290.5000
356.7109 2290.0000
356.7000 2289.6516
356.6953 2289.5000
356.6796 2289.0000
356.6639 2288.5000
356.6483 2288.0000
356.6326 2287.5000
356.6169 2287.0000
356.6013 2286.5000
356.6000 2286.4596
356.5856 2286.0000
356.5699 2285.5000
356.5542 2285.0000
356.5385 2284.5000
356.5228 2284.0000
356.5072 2283.5000
356.5000 2283.2720
356.4915 2283.0000
356.4758 2282.5000
356.4601 2282.0000
356.4443 2281.5000
356.4286 2281.0000
356.4129 2280.5000
356.4000 2280.0885
356.3972 2280.0000
356.3815 2279.5000
356.3658 2279.0000
356.3500 2278.5000
356.3343 2278.0000
356.3186 2277.5000
356.3029 2277.0000
356.3000 2276.9093
356.2871 2276.5000
356.2714 2276.0000
356.2556 2275.5000
356.2399 2275.0000
356.2241 2274.5000
356.2084 2274.0000
356.2000 2273.7344
356.1926 2273.5000
356.1768 2273.0000
356.1611 2272.5000
356.1453 2272.0000
356.1295 2271.5000
356.1138 2271.0000
356.1000 2270.5636
356.0980 2270.5000
356.0822 2270.0000
356.0664 2269.5000
356.0506 2269.0000
356.0348 2268.5000
356.0190 2268.0000
356.0033 2267.5000
356.0000 2267.3971
355.9874 2267.0000
355.9716 2266.5000
355.9558 2266.0000
355.9400 2265.5000
355.9242 2265.0000
355.9084 2264.5000
355.9000 2264.2348
355.8926 2264.0000
355.8767 2263.5000
355.8609 2263.0000
355.8451 2262.5000
355.8292 2262.0000
355.8134 2261.5000
355.8000 2261.0766
355.7976 2261.0000
355.7817 2260.5000
355.7659 2260.0000
355.7500 2259.5000
355.7342 2259.0000
355.7183 2258.5000
355.7025 2258.0000
355.7000 2257.9227
355.6866 2257.5000
355.6707 2257.0000
355.6548 2256.5000
355.6390 2256.0000
355.6231 2255.5000
355.6072 2255.0000
355.6000 2254.7729
355.5913 2254.5000
355.5754 2254.0000
355.5595 2253.5000
355.5437 2253.0000
355.5278 2252.5000
355.5119 2252.0000
355.5000 2251.6272
355.4960 2251.5000
355.4800 2251.0000
355.4641 2250.5000
355.4482 2250.0000
355.4323 2249.5000
355.4164 2249.0000
355.4005 2248.5000
355.4000 2248.4857
355.3845 2248.0000
355.3686 2247.5000
355.3527 2247.0000
355.3367 2246.5000
355.3208 2246.0000
355.3048 2245.5000
355.3000 2245.3484
355.2889 2245.0000
355.2729 2244.5000
355.2570 2244.0000
355.2410 2243.5000
355.2251 2243.0000
355.2091 2242.5000
355.2000 2242.2152
355.1931 2242.0000
355.1772 2241.5000
355.1612 2241.0000
355.1452 2240.5000
355.1292 2240.0000
355.1132 2239.5000
355.1000 2239.0861
355.0972 2239.0000
355.0813 2238.5000
355.0653 2238.0000
355.0493 2237.5000
355.0333 2237.0000
355.0173 2236.5000
355.0012 2236.0000
355.0000 2235.9611
354.9852 2235.5000
354.9692 2235.0000
354.9532 2234.5000
354.9372 2234.0000
354.9211 2233.5000
354.9051 2233.0000
354.9000 2232.8402
354.8891 2232.5000
354.8731 2232.0000
354.8570 2231.5000
354.8410 2231.0000
354.8249 2230.5000
354.8089 2230.0000
354.8000 2229.7235
354.7928 2229.5000
354.7768 2229.0000
354.7607 2228.5000
354.7446 2228.0000
354.7286 2227.5000
354.7125 2227.0000
354.7000 2226.6108
354.6964 2226.5000
354.6804 2226.0000
354.6643 2225.5000
354.6482 2225.0000
354.6321 2224.5000
354.6160 2224.0000
354.6000 2223.5022
354.5999 2223.5000
354.5838 2223.0000
354.5677 2222.5000
354.5516 2222.0000
354.5355 2221.5000
354.5194 2221.0000
354.5033 2220.5000
354.5000 2220.3976
354.4872 2220.0000
354.4711 2219.5000
354.4549 2219.0000
354.4388 2218.5000
354.4227 2218.0000
354.4065 2217.5000
354.4000 2217.2972
354.3904 2217.0000
354.3743 2216.5000
354.3581 2216.0000
354.3420 2215.5000
354.3258 2215.0000
354.3097 2214.5000
354.3000 2214.2008
354.2935 2214.0000
354.2773 2213.5000
354.2612 2213.0000
354.2450 2212.5000
354.2288 2212.0000
354.2127 2211.5000
354.2000 2211.1084
354.1965 2211.0000
354.1803 2210.5000
354.1641 2210.0000
354.1479 2209.5000
354.1317 2209.0000
354.1155 2208.5000
354.1000 2208.0201
354.0994 2208.0000
354.0831 2207.5000
354.0669 2207.0000
354.0507 2206.5000
354.0345 2206.0000
354.0183 2205.5000
354.0021 2205.0000
354.0000 2204.9358
353.9859 2204.5000
353.9696 2204.0000
353.9534 2203.5000
