SF_Version 0.9.3
03-Sep-2024 23:12:15 
Temp(K) Pressure(MPa)
201.9335 670.8401
202.0000 670.8792
202.1000 670.9366
202.2000 670.9937
202.2112 671.0000
202.3000 671.0505
202.4000 671.1070
202.5000 671.1633
202.6000 671.2193
202.7000 671.2750
202.8000 671.3304
202.9000 671.3856
203.0000 671.4405
203.1000 671.4951
203.1090 671.5000
203.2000 671.5494
203.3000 671.6035
203.4000 671.6573
203.5000 671.7108
203.6000 671.7640
203.7000 671.8170
203.8000 671.8696
203.9000 671.9220
204.0000 671.9742
204.0499 672.0000
204.1000 672.0260
204.2000 672.0776
204.3000 672.1289
204.4000 672.1799
204.5000 672.2306
204.6000 672.2810
204.7000 672.3312
204.8000 672.3811
204.9000 672.4307
205.0000 672.4801
205.0407 672.5000
205.1000 672.5291
205.2000 672.5779
205.3000 672.6264
205.4000 672.6746
205.5000 672.7225
205.6000 672.7702
205.7000 672.8176
205.8000 672.8647
205.9000 672.9115
206.0000 672.9580
206.0907 673.0000
206.1000 673.0043
206.2000 673.0503
206.3000 673.0960
206.4000 673.1414
206.5000 673.1865
206.6000 673.2314
206.7000 673.2760
206.8000 673.3203
206.9000 673.3643
207.0000 673.4080
207.1000 673.4514
207.2000 673.4946
207.2126 673.5000
207.3000 673.5375
207.4000 673.5801
207.5000 673.6224
207.6000 673.6644
207.7000 673.7062
207.8000 673.7477
207.9000 673.7889
208.0000 673.8298
208.1000 673.8704
208.2000 673.9107
208.3000 673.9508
208.4000 673.9906
208.4239 674.0000
208.5000 674.0300
208.6000 674.0693
208.7000 674.1082
208.8000 674.1468
208.9000 674.1852
209.0000 674.2232
209.1000 674.2610
209.2000 674.2985
209.3000 674.3357
209.4000 674.3727
209.5000 674.4093
209.6000 674.4457
209.7000 674.4818
209.7510 674.5000
209.8000 674.5176
209.9000 674.5531
210.0000 674.5883
210.1000 674.6232
210.2000 674.6579
210.3000 674.6922
210.4000 674.7263
210.5000 674.7601
210.6000 674.7936
210.7000 674.8268
210.8000 674.8598
210.9000 674.8924
211.0000 674.9248
211.1000 674.9568
211.2000 674.9886
211.2361 675.0000
211.3000 675.0201
211.4000 675.0513
211.5000 675.0823
211.6000 675.1129
211.7000 675.1432
211.8000 675.1733
211.9000 675.2031
212.0000 675.2326
212.1000 675.2618
212.2000 675.2907
212.3000 675.3193
212.4000 675.3476
212.5000 675.3757
212.6000 675.4034
212.7000 675.4309
212.8000 675.4581
212.9000 675.4849
212.9566 675.5000
213.0000 675.5115
213.1000 675.5378
213.2000 675.5639
213.3000 675.5896
213.4000 675.6150
213.5000 675.6402
213.6000 675.6651
213.7000 675.6896
213.8000 675.7139
213.9000 675.7379
214.0000 675.7616
214.1000 675.7850
214.2000 675.8081
214.3000 675.8309
214.4000 675.8535
214.5000 675.8757
214.6000 675.8977
214.7000 675.9193
214.8000 675.9407
214.9000 675.9618
215.0000 675.9826
215.0850 676.0000
215.1000 676.0031
215.2000 676.0233
215.3000 676.0432
215.4000 676.0628
215.5000 676.0821
215.6000 676.1012
215.7000 676.1199
215.8000 676.1384
215.9000 676.1565
216.0000 676.1744
216.1000 676.1920
216.2000 676.2092
216.3000 676.2262
216.4000 676.2429
216.5000 676.2593
216.6000 676.2754
216.7000 676.2912
216.8000 676.3068
216.9000 676.3220
217.0000 676.3369
217.1000 676.3515
217.2000 676.3659
217.3000 676.3799
217.4000 676.3937
217.5000 676.4071
217.6000 676.4203
217.7000 676.4332
217.8000 676.4457
217.9000 676.4580
218.0000 676.4700
218.1000 676.4817
218.2000 676.4931
218.2624 676.5000
218.3000 676.5042
218.4000 676.5150
218.5000 676.5255
218.6000 676.5357
218.7000 676.5456
218.8000 676.5552
218.9000 676.5645
219.0000 676.5736
219.1000 676.5823
219.2000 676.5907
219.3000 676.5989
219.4000 676.6067
219.5000 676.6142
219.6000 676.6215
219.7000 676.6284
219.8000 676.6351
219.9000 676.6414
220.0000 676.6475
220.1000 676.6532
220.2000 676.6587
220.3000 676.6638
220.4000 676.6687
220.5000 676.6733
220.6000 676.6775
220.7000 676.6815
220.8000 676.6852
220.9000 676.6885
221.0000 676.6916
221.1000 676.6944
221.2000 676.6968
221.3000 676.6990
221.4000 676.7009
221.5000 676.7025
221.6000 676.7037
221.7000 676.7047
221.8000 676.7054
221.9000 676.7058
222.0000 676.7058
222.1000 676.7056
222.2000 676.7051
222.3000 676.7043
222.4000 676.7031
222.5000 676.7017
222.6000 676.7000
222.7000 676.6980
222.8000 676.6956
222.9000 676.6930
223.0000 676.6901
223.1000 676.6868
223.2000 676.6833
223.3000 676.6795
223.4000 676.6753
223.5000 676.6709
223.6000 676.6662
223.7000 676.6611
223.8000 676.6558
223.9000 676.6501
224.0000 676.6442
224.1000 676.6379
224.2000 676.6314
224.3000 676.6245
224.4000 676.6174
224.5000 676.6099
224.6000 676.6022
224.7000 676.5941
224.8000 676.5857
224.9000 676.5771
225.0000 676.5681
225.1000 676.5588
225.2000 676.5492
225.3000 676.5393
